subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS019-Kidato I,Demonstrate mastery of African history before colonialism,Demonstrate an understanding of the concept of History and sources of historical information,Describe the concept of History and the sources of historical information,The Concept and Sources of History,12,Discussion,Kuwaongoza Wanafunzi,Students accurately define the concept of History and correctly classify sources of historical information as primary or secondary.,historical charts|timelines|sample primary source documents|photographs,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","History is the systematic study of past human events, actions and experiences, and of how they have shaped societies over time.","Historians reconstruct the past using primary sources, such as eyewitness accounts, artefacts, official records and oral traditions, and secondary sources, such as textbooks and journal articles written afterwards by people who did not witness the events. Reliable History requires comparing several sources and checking each one for bias, authenticity and accuracy before drawing conclusions.",The 1959 discovery of early hominid fossils at Olduvai Gorge in Tanzania by Louis and Mary Leakey is a primary archaeological source that reshaped scientific understanding of human origins.,"Learning to judge the reliability of sources helps students evaluate news, social media posts and rumours critically in everyday life.","What is History::History is the systematic study of past human events and how they shaped society||Give one example of a primary source::An eyewitness account, official record or artefact from the time of the event||Why must historians compare multiple sources::To check for bias, accuracy and reliability before drawing conclusions",
2023-JSS019-Kidato I,Demonstrate mastery of African history before colonialism,Demonstrate an understanding of theories of the origin of human beings,Describe the theories of the origin of human beings,Theories on the Origin of Human Beings,9,Storytelling,Kuwaongoza Wanafunzi,Students correctly outline the main theories explaining the origin of human beings and identify the evidence each relies on.,charts of theories|religious texts excerpts|pictures of fossil evidence|journal articles,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","There are several theories about how human beings came into existence, including religious/creation theories and the scientific theory of evolution.","Creation theories, found in religions such as Christianity and Islam, hold that human beings were specially created by a supreme being. The scientific theory of evolution, associated with Charles Darwin, argues that human beings evolved gradually over millions of years from earlier primate ancestors through a process of natural selection, a view supported by fossil and archaeological evidence found mainly in East Africa.",Fossils of early hominids such as Australopithecus afarensis (the 'Lucy' skeleton found in Ethiopia in 1974) are used by scientists as evidence supporting the evolution theory.,Understanding different theories of human origin helps students respect diverse religious and scientific viewpoints in their communities.,"Name two main theories of the origin of human beings::The creation (religious) theory and the evolution theory||Who is associated with the theory of evolution::Charles Darwin||Where was the 'Lucy' fossil skeleton discovered::In Ethiopia, East Africa",
2023-JSS019-Kidato I,Demonstrate mastery of African history before colonialism,Demonstrate an understanding of theories of the origin of human beings,Describe the stages of human evolution and their technological Ages,Stages of Human Evolution and Technological Ages,9,Research,Kuwaongoza Wanafunzi,Students correctly sequence the stages of human evolution and match each stage with its corresponding technological age.,evolution chart|pictures of stone and iron tools|timeline poster,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Human evolution passed through several physical stages, from early ape-like ancestors to modern humans, each associated with a particular level of tool-making technology.","Key stages include Australopithecus, Homo habilis ('handy man', the first tool user), Homo erectus (who used fire and more advanced tools) and Homo sapiens (modern humans). These stages correspond to technological ages: the Old Stone Age (Palaeolithic, simple chipped stone tools), Middle and Late Stone Age (finer tools), and later the Iron Age, when people learned to smelt and use iron for tools and weapons.","Homo habilis remains found at Olduvai Gorge in Tanzania are linked with simple pebble tools, marking the beginning of the Stone Age.","The move from stone to iron tools shows how technological improvement increases production, just as modern technology increases efficiency today.",Which hominid is regarded as the first tool user::Homo habilis||Name the technological age that followed the Stone Age::The Iron Age||Where in Tanzania were early Homo habilis remains found::Olduvai Gorge,
2023-JSS019-Kidato I,Demonstrate mastery of African history before colonialism,"Demonstrate an understanding of the economic, political, social and technological development in pre-colonial Africa",Describe different modes of production in pre-colonial Africa,Modes of Production in Pre-Colonial Africa,14,Field trip,Kuwaongoza Wanafunzi,Students accurately describe the different modes of production practised in pre-colonial African societies.,pictures of traditional tools|maps of African economic activities|charts,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",Pre-colonial African societies obtained their livelihood through several modes of production suited to their environment.,"These included hunting and gathering (the oldest mode, practised by societies such as the Hadzabe of Tanzania), pastoralism or livestock keeping (practised by groups such as the Maasai), cultivation/agriculture (practised by settled agricultural communities such as the Chagga and the Sukuma), fishing along lakes and coasts, and craft production such as ironworking and pottery.",The Hadzabe of northern Tanzania are a well-known example of a society that has practised hunting and gathering for a very long time.,"Some of these traditional modes of production, such as pastoralism and fishing, are still practised by communities in Tanzania today.","Name one mode of production practised in pre-colonial Africa::Hunting and gathering (or pastoralism, cultivation, fishing, craft production)||Give an example of a Tanzanian society known for hunting and gathering::The Hadzabe||Which Tanzanian community is well known for pastoralism::The Maasai",
2023-JSS019-Kidato I,Demonstrate mastery of African history before colonialism,"Demonstrate an understanding of the economic, political, social and technological development in pre-colonial Africa",Explain different economic activities and their impact on pre-colonial African societies,Economic Activities and Their Impact in Pre-Colonial Africa,13,Discussion,Kuwaongoza Wanafunzi,Students explain how various economic activities influenced social and political life in pre-colonial African societies.,trade route maps|pictures of trade goods|charts on division of labour,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Besides production for subsistence, pre-colonial African societies engaged in trade and specialisation, which had wide effects on their social organisation.","Local and long-distance trade, such as the trans-Saharan trade linking West Africa to North Africa and the caravan trade of East Africa, encouraged specialisation, division of labour and the growth of markets and towns. Trade also promoted social stratification, as some individuals and groups accumulated more wealth and political power than others, and it stimulated cultural exchange between different societies.","The trans-Saharan trade, which exchanged West African gold and salt from the Sahara, led to the growth of wealthy trading empires such as ancient Ghana and Mali.","Trade and specialisation remain central to modern economies, just as they were essential in building pre-colonial African wealth and towns.","Name one long-distance trade route in pre-colonial Africa::The trans-Saharan trade route||What effect did trade have on pre-colonial societies::It encouraged specialisation, division of labour and social stratification||Name one empire that grew wealthy through trans-Saharan trade::Ancient Ghana (or Mali)",
2023-JSS019-Kidato I,Demonstrate mastery of African history before colonialism,"Demonstrate an understanding of the economic, political, social and technological development in pre-colonial Africa",Describe social-political organisations and education in pre-colonial African societies,Social-Political Organisation and Education in Pre-Colonial Africa,13,Debate,Kuwaongoza Wanafunzi,Students correctly distinguish between centralised and non-centralised political systems and describe indigenous education methods in pre-colonial Africa.,charts of political systems|pictures of initiation ceremonies|maps of African kingdoms,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Pre-colonial African societies organised themselves politically either as centralised states led by a chief or king, or as non-centralised (stateless) societies without a single ruler.","Centralised states, such as the Buganda kingdom, had a clear hierarchy of chiefs and kings with defined authority, while non-centralised societies, such as the Nuer and many Nyamwezi clans, were organised through kinship, age-sets and councils of elders. Education in these societies was informal, delivered through oral tradition, storytelling, apprenticeship in skills such as farming and ironworking, and formal initiation ceremonies that taught community values and adult responsibilities.",The Buganda kingdom in present-day Uganda is a classic example of a centralised pre-colonial African state with a king (Kabaka) and organised chiefs.,Traditional initiation and mentorship practices for passing on skills and values continue in many Tanzanian communities today.,"Give an example of a centralised pre-colonial African state::The Buganda kingdom||How was education provided in pre-colonial African societies::Informally, through oral tradition, apprenticeship and initiation ceremonies||What is a non-centralised political system::A society without a single ruler, organised through kinship, age-sets or councils of elders",
2023-JSS019-Kidato II,Demonstrate mastery of African history before colonialism,Demonstrate an understanding of interactions among African societies during the pre-colonial period,"Describe the pre-colonial interactions among the societies of Indian Ocean Islands, Eastern, Western, Northern and Southern Africa (conditions and consequences)",Pre-Colonial Interactions Across African Regions,24,Research,Kuwaongoza Wanafunzi,Students accurately describe the conditions that enabled pre-colonial interactions among African regions and explain their consequences.,map of Indian Ocean trade routes|pictures of Swahili coast towns|charts,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Long before colonial rule, African societies in different regions, including the Indian Ocean Islands, interacted through trade, migration and cultural exchange.","Favourable monsoon winds and the availability of goods such as ivory, gold and iron enabled trade between East African coastal societies and Indian Ocean Islands such as Zanzibar, Pemba, Madagascar and the Comoros, as well as with Western, Northern and Southern Africa through overland trade routes. These interactions led to the growth of city-states such as Kilwa, the spread of Kiswahili and Islam along the coast, intermarriage, and cultural blending seen in Swahili civilisation.","The city-state of Kilwa Kisiwani, on the southern Tanzanian coast, grew into a wealthy and powerful Indian Ocean trading centre due to these regional interactions.",The Kiswahili language spoken widely in Tanzania today is a direct product of these historical interactions between African coastal societies and Indian Ocean traders.,"Name one Indian Ocean island that interacted with East Africa in pre-colonial times::Zanzibar (or Pemba, Madagascar, Comoros)||What factor enabled Indian Ocean trade with the East African coast::Favourable monsoon winds||Name one East African coastal city-state that grew from these interactions::Kilwa Kisiwani",
2023-JSS019-Kidato II,Demonstrate mastery of African history before colonialism,"Demonstrate an understanding of the early contacts among the people of Africa, the Middle East, the Far East and Europe from the 1st Century to the 19th Century","Describe the early contacts between African societies and the Middle East, Far East and Europe from the 1st Century up to the 15th Century (conditions and consequences)","Early African Contacts with the Middle East, Far East and Europe",16,Research,Kuwaongoza Wanafunzi,"Students describe the earliest recorded contacts between African societies and the Middle East, Far East and Europe, and explain their effects.",map of ancient trade routes|excerpt of the Periplus of the Erythraean Sea|pictures of Chinese porcelain finds,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","From as early as the 1st Century AD, African societies, especially along the East African coast, had contacts with traders and travellers from the Middle East, the Far East and, later, Europe.","The Greek document known as the Periplus of the Erythraean Sea (about the 1st Century AD) recorded East African coastal trade with Arabia and the Mediterranean world. Arab traders settled along the coast over centuries, while the Chinese Ming dynasty admiral Zheng He led fleets that reached the East African coast in the early 15th Century, exchanging silk and porcelain for African goods such as ivory. These contacts spread new goods, ideas, and eventually Islam, and encouraged the growth of Swahili trading towns.",Chinese porcelain shards found at archaeological sites such as Kilwa are physical evidence of the visits made by Zheng He's fleet to the East African coast in the 15th Century.,Archaeological finds like Chinese porcelain remind students that Tanzania has been connected to global trade networks for many centuries.,Which ancient Greek document recorded East African coastal trade::The Periplus of the Erythraean Sea||Who led the Chinese fleets that reached the East African coast in the 15th Century::Admiral Zheng He||Name one effect of these early contacts on East Africa::The spread of Islam and growth of Swahili trading towns,
2023-JSS019-Kidato II,Demonstrate mastery of African history before colonialism,"Demonstrate an understanding of the early contacts among the people of Africa, the Middle East, the Far East and Europe from the 1st Century to the 19th Century","Explain the contacts between African societies and the Portuguese, French, Dutch and British from the 15th Century up to the 18th Century","African Contacts with European Powers, 15th-18th Century",15,Discussion,Kuwaongoza Wanafunzi,"Students explain how the Portuguese, French, Dutch and British established contact with African societies between the 15th and 18th centuries.",map of European voyages|pictures of Fort Jesus|timeline chart,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","From the 15th Century, European powers began sailing to Africa in search of trade routes to the East, leading to new contacts with African coastal societies.","The Portuguese explorer Vasco da Gama rounded the Cape of Good Hope and reached the East African coast in 1498, after which the Portuguese built forts such as Fort Jesus in Mombasa (1593) to control coastal trade. The Dutch established a refreshment station at the Cape of Good Hope in 1652 under Jan van Riebeeck, while French and British traders and companies later established posts along the West African coast, mainly to access gold, ivory and, increasingly, slaves.","Fort Jesus in Mombasa, built by the Portuguese in 1593, symbolises the struggle for control of East African coastal trade during this period.","Historic buildings such as Fort Jesus remain popular heritage and tourist sites today, connecting present-day East Africans to this history.",Who was the Portuguese explorer that reached the East African coast in 1498::Vasco da Gama||What fort did the Portuguese build in Mombasa in 1593::Fort Jesus||Who established a Dutch station at the Cape of Good Hope in 1652::Jan van Riebeeck,
2023-JSS019-Kidato II,Demonstrate mastery of African history before colonialism,"Demonstrate an understanding of the early contacts among the people of Africa, the Middle East, the Far East and Europe from the 1st Century to the 19th Century","Describe the origin, development and effects of the slave trade from the 15th Century to the 19th Century","The Slave Trade: Origin, Development and Effects",15,Case study,Kuwaongoza Wanafunzi,Students describe the origin and development of the slave trade and correctly explain its effects on African societies.,map of the triangular trade|pictures of slave routes|charts on abolition,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","The slave trade involved the forced capture and sale of Africans, and grew into a large-scale trade across the Atlantic, the Sahara and the Indian Ocean between the 15th and 19th centuries.","The Trans-Atlantic slave trade began with the Portuguese in the 15th Century and grew into the triangular trade linking Europe, Africa and the Americas, supplying labour for plantations. Alongside it, the older Trans-Saharan and Indian Ocean/Arab slave trades continued to move enslaved Africans to North Africa and the Middle East. The slave trade caused massive depopulation, social disruption and long-term economic underdevelopment in Africa, before being gradually abolished, with Britain banning the trade in 1807 and slavery itself in 1833.","Zanzibar's Stone Town, once a major Indian Ocean slave market, today houses a memorial to the victims of the East African slave trade.",The slave trade memorial sites in Zanzibar and elsewhere remind present-day Tanzanians of this painful history and the importance of human rights.,"In which century did the Trans-Atlantic slave trade begin::The 15th Century||Name the trade system linking Europe, Africa and the Americas::The triangular (Trans-Atlantic) trade||In what year did Britain abolish the slave trade::1807",
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa,Demonstrate an understanding of the development of capitalism and its impact on Africa,Describe the development of capitalism in Europe and its impact on Africa,Development of Capitalism in Europe and Its Impact on Africa,43,Discussion,Kuwaongoza Wanafunzi,Students explain how the development of capitalism and the Industrial Revolution in Europe led to the colonisation of Africa.,map of the Scramble for Africa|pictures of Industrial Revolution factories|Berlin Conference chart,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Capitalism is an economic system based on private ownership of production and the pursuit of profit, which grew rapidly in Europe from the Industrial Revolution of the 18th Century.","The Industrial Revolution, beginning in Britain around the 1760s, increased factory production and created a growing need for raw materials, cheap labour and new markets, which European capitalist countries sought in Africa. This need drove the Scramble for Africa in the late 19th Century, formalised at the Berlin Conference of 1884-1885, where European powers divided Africa into colonies without consulting Africans.","At the Berlin Conference of 1884-1885, held in Germany, European powers agreed on rules for partitioning Africa among themselves, directly leading to colonial rule across the continent.","The demand for raw materials that began with the Industrial Revolution still shapes global trade patterns, including Africa's exports today.",What economic system is based on private ownership and profit::Capitalism||In which country did the Industrial Revolution begin::Britain||In what years was the Berlin Conference held::1884-1885,
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa,Demonstrate an understanding of colonial systems in Africa,"Discuss colonial administrative systems in Africa (German, French, British and Portuguese)",Colonial Administrative Systems in Africa,8,Debate,Kuwaongoza Wanafunzi,"Students correctly compare the administrative systems used by Germany, France, Britain and Portugal to govern their African colonies.",maps of colonial territories|charts comparing colonial systems|pictures of colonial officials,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","European colonial powers used different administrative systems to govern their African territories, depending on their colonial policies.","Britain generally used indirect rule, governing through existing local chiefs, as promoted by Lord Lugard in Nigeria. France used direct rule and a policy of assimilation, aiming to turn Africans into French citizens. Portugal applied a similar assimilado system, while Germany, before losing its colonies after World War I, administered Tanganyika through direct rule enforced by military force and appointed akidas and jumbes.","In German East Africa (present-day mainland Tanzania), the Germans used appointed akidas and jumbes to enforce direct colonial rule at the local level until their defeat in World War I.",Traces of these colonial administrative boundaries and structures still influence local government systems in African countries today.,Which colonial administrative system did Britain mainly use::Indirect rule||What French policy aimed to turn Africans into French citizens::Assimilation||Who administered German East Africa at the local level::Appointed akidas and jumbes,
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa,Demonstrate an understanding of colonial systems in Africa,"Discuss colonial economic systems in Africa (Establishment, characteristics, sectors, labour issues)",Colonial Economic Systems in Africa,8,Question and answer,Kuwaongoza Wanafunzi,Students accurately describe how colonial economic systems were established and identify the labour problems associated with them.,pictures of cash crop plantations|colonial tax records|charts on forced labour,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",Colonial powers established economic systems in Africa mainly designed to extract raw materials and profit for the colonising country.,"Colonial economies were characterised by cash crop production such as cotton, coffee and sisal, mining of minerals, and construction of railways and ports to move goods to the coast for export. To secure labour, colonial governments used forced labour, hut and poll taxes that compelled Africans to work for wages, and land alienation that pushed Africans into wage labour. These harsh labour demands, including forced cotton growing, were among the causes of resistance such as the Majimaji uprising of 1905-1907 in German East Africa.",The Majimaji uprising (1905-1907) in German East Africa was partly a reaction against forced cultivation of cotton and harsh colonial labour policies.,"The cash crops introduced during the colonial period, such as coffee, sisal and cotton, remain important export crops for Tanzania today.","Name two cash crops introduced under colonial economic systems::Cotton and coffee (or sisal)||How did colonial governments force Africans into wage labour::Through taxation, forced labour and land alienation||Which uprising in German East Africa was linked to forced cotton growing::The Majimaji uprising (1905-1907)",
