subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,question_type,difficulty,prompt,options,word_bank,correct_answer,solution_steps,marks,source,language
2023-JSS017-DRS IV,Kumudu stadi za awali za ramani na mfumo wa jua,Kutumia ramani katika maisha ya kila siku,"Kuonesha uelekeo wa vitu mbalimbali kwa kutumia pande kuu nne na nane za dunia (Kutambua pande kuu nne, kuchora pande kuu nne, kutumia pande kuu nne kuonesha uelekeo, kutambua pande nane, kuchora pande nane, kutumia pande nane kuonesha uelekeo)",mcq,easy,"Pande kuu za dunia ni Kaskazini, Kusini, Mashariki na upande gani mwingine?",Kaskazini-Mashariki|Magharibi|Ikweta|Ncha ya Kusini,,Magharibi,,1,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM",sw
2023-JSS017-DRS IV,Kumudu stadi za awali za ramani na mfumo wa jua,Kutumia ramani katika maisha ya kila siku,"Kuonesha uelekeo wa vitu mbalimbali kwa kutumia pande kuu nne na nane za dunia (Kutambua pande kuu nne, kuchora pande kuu nne, kutumia pande kuu nne kuonesha uelekeo, kutambua pande nane, kuchora pande nane, kutumia pande nane kuonesha uelekeo)",fill_blank,easy,Jua huchomoza upande wa ___ wakati wa asubuhi.,,Mashariki|Magharibi|Kaskazini|Kusini,Mashariki,,1,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM",sw
2023-JSS017-DRS IV,Kumudu stadi za awali za ramani na mfumo wa jua,Kutumia ramani katika maisha ya kila siku,"Kuonesha uelekeo wa vitu mbalimbali kwa kutumia pande kuu nne na nane za dunia (Kutambua pande kuu nne, kuchora pande kuu nne, kutumia pande kuu nne kuonesha uelekeo, kutambua pande nane, kuchora pande nane, kutumia pande nane kuonesha uelekeo)",fill_blank,easy,Jua huzama upande wa ___ wakati wa jioni.,,Kaskazini|Magharibi|Kusini|Mashariki,Magharibi,,1,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM",sw
2023-JSS017-DRS IV,Kumudu stadi za awali za ramani na mfumo wa jua,Kutumia ramani katika maisha ya kila siku,"Kuonesha uelekeo wa vitu mbalimbali kwa kutumia pande kuu nne na nane za dunia (Kutambua pande kuu nne, kuchora pande kuu nne, kutumia pande kuu nne kuonesha uelekeo, kutambua pande nane, kuchora pande nane, kutumia pande nane kuonesha uelekeo)",mcq,medium,"Ukisimama ukielekea upande ambao Jua linachomoza asubuhi, upande wa kulia kwako utakuwa upande gani?",Mashariki|Kaskazini|Kusini|Magharibi,,Kusini,,1,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM",sw
2023-JSS017-DRS IV,Kumudu stadi za awali za ramani na mfumo wa jua,Kutumia ramani katika maisha ya kila siku,"Kuonesha uelekeo wa vitu mbalimbali kwa kutumia pande kuu nne na nane za dunia (Kutambua pande kuu nne, kuchora pande kuu nne, kutumia pande kuu nne kuonesha uelekeo, kutambua pande nane, kuchora pande nane, kutumia pande nane kuonesha uelekeo)",mcq,medium,"Ukisimama ukielekea upande ambao Jua linachomoza asubuhi, upande wa kushoto kwako utakuwa upande gani?",Magharibi|Kusini|Mashariki|Kaskazini,,Kaskazini,,1,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM",sw
2023-JSS017-DRS IV,Kumudu stadi za awali za ramani na mfumo wa jua,Kutumia ramani katika maisha ya kila siku,"Kuonesha uelekeo wa vitu mbalimbali kwa kutumia pande kuu nne na nane za dunia (Kutambua pande kuu nne, kuchora pande kuu nne, kutumia pande kuu nne kuonesha uelekeo, kutambua pande nane, kuchora pande nane, kutumia pande nane kuonesha uelekeo)",true_false,easy,"Wakati wa jioni, ukimtazama Jua likizama, upande wa nyuma yako utakuwa Mashariki.",,,Kweli,,1,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM",sw
2023-JSS017-DRS IV,Kumudu stadi za awali za ramani na mfumo wa jua,Kutumia ramani katika maisha ya kila siku,"Kuonesha uelekeo wa vitu mbalimbali kwa kutumia pande kuu nne na nane za dunia (Kutambua pande kuu nne, kuchora pande kuu nne, kutumia pande kuu nne kuonesha uelekeo, kutambua pande nane, kuchora pande nane, kutumia pande nane kuonesha uelekeo)",true_false,medium,"Wakati wa asubuhi, kivuli cha mtu anayesimama nje huwa upande wa Mashariki.",,,Uongo,,1,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM",sw
2023-JSS017-DRS IV,Kumudu stadi za awali za ramani na mfumo wa jua,Kutumia ramani katika maisha ya kila siku,"Kuonesha uelekeo wa vitu mbalimbali kwa kutumia pande kuu nne na nane za dunia (Kutambua pande kuu nne, kuchora pande kuu nne, kutumia pande kuu nne kuonesha uelekeo, kutambua pande nane, kuchora pande nane, kutumia pande nane kuonesha uelekeo)",fill_blank,medium,"Ni vigumu kubaini pande kuu za dunia kwa njia ya kivuli wakati wa ___, yaani saa sita mchana.",,jua la utosi|mvua kubwa|usiku wa manane|baridi kali,jua la utosi,,1,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM",sw
2023-JSS017-DRS IV,Kumudu stadi za awali za ramani na mfumo wa jua,Kutumia ramani katika maisha ya kila siku,"Kuonesha uelekeo wa vitu mbalimbali kwa kutumia pande kuu nne na nane za dunia (Kutambua pande kuu nne, kuchora pande kuu nne, kutumia pande kuu nne kuonesha uelekeo, kutambua pande nane, kuchora pande nane, kutumia pande nane kuonesha uelekeo)",mcq,medium,Kifaa gani hutumika kubaini uelekeo wa Kaskazini kwa kutumia sumaku?,Bikari|Rula|Dira ya analojia|Kipimajoto,,Dira ya analojia,,1,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM",sw
2023-JSS017-DRS IV,Kumudu stadi za awali za ramani na mfumo wa jua,Kutumia ramani katika maisha ya kila siku,"Kuonesha uelekeo wa vitu mbalimbali kwa kutumia pande kuu nne na nane za dunia (Kutambua pande kuu nne, kuchora pande kuu nne, kutumia pande kuu nne kuonesha uelekeo, kutambua pande nane, kuchora pande nane, kutumia pande nane kuonesha uelekeo)",short_answer,medium,Taja hatua mbili za kubaini Pande Kuu za Dunia kwa kutumia dira.,,,"Mfano: kuhakikisha mshale wa dira umeelekea Kaskazini kisha kugeuka kuelekea upande huo (au: baada ya kutambua Kaskazini, kubaini Kusini nyuma yako, Mashariki kuliani na Magharibi kushotoni)",,2,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM",sw
