subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,question_type,difficulty,prompt,options,word_bank,correct_answer,solution_steps,marks,source,language
2023-JSS004-DRS I,Kusoma,Kusoma kwa ufasaha,Kusoma kwa sauti kifungu cha habari/hadithi linganifu kwa kasi stahiki (maneno 40 kwa dakika),short_answer,easy,Kusoma kwa 'kasi stahiki' wakati wa kusoma kifungu cha habari kunamaanisha nini?,,,"Kusoma kwa mwendo wa kawaida, usio wa haraka mno wala wa polepole mno, kama maneno 40 kwa dakika.",,2,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kusoma kwa ufasaha,Kusoma kwa sauti kifungu cha habari/hadithi linganifu kwa kasi stahiki (maneno 40 kwa dakika),mcq,medium,Ni ipi kati ya hizi inaelezea vizuri zaidi kusoma kifungu cha habari kwa 'kasi stahiki'?,Kusoma maneno 40 kwa dakika moja bila kuharakisha wala kukawia sana|Kusoma kitabu chote ndani ya dakika moja|Kuruka maneno magumu ili kumaliza haraka|Kusoma kwa kunong'ona bila kutamka maneno,,Kusoma maneno 40 kwa dakika moja bila kuharakisha wala kukawia sana,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kusoma kwa ufasaha,"Kusoma kwa sauti kifungu cha habari/hadithi linganifu kwa hisia na kwa kuzingatia alama za uandishi (nukta, mkato, alama ya kuuliza na alama ya mshangao)",mcq,easy,Alama gani hutumika mwishoni mwa sentensi ya kawaida inayotoa taarifa?,Nukta|Mkato|Alama ya kuuliza|Alama ya mshangao,,Nukta,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kusoma kwa ufasaha,"Kusoma kwa sauti kifungu cha habari/hadithi linganifu kwa hisia na kwa kuzingatia alama za uandishi (nukta, mkato, alama ya kuuliza na alama ya mshangao)",mcq,easy,Tunatumia alama gani mwishoni mwa sentensi inayouliza swali?,Nukta|Alama ya kuuliza|Mkato|Alama ya mshangao,,Alama ya kuuliza,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kusoma kwa ufasaha,"Kusoma kwa sauti kifungu cha habari/hadithi linganifu kwa hisia na kwa kuzingatia alama za uandishi (nukta, mkato, alama ya kuuliza na alama ya mshangao)",mcq,medium,Alama gani hutumika kuonesha hisia kali kama mshangao au furaha kubwa?,Nukta|Mkato|Alama ya mshangao|Alama ya kuuliza,,Alama ya mshangao,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kusoma kwa ufasaha,"Kusoma kwa sauti kifungu cha habari/hadithi linganifu kwa hisia na kwa kuzingatia alama za uandishi (nukta, mkato, alama ya kuuliza na alama ya mshangao)",fill_blank,medium,"Tunapopumzika kidogo katikati ya sentensi ndefu wakati wa kusoma, tunatumia alama iitwayo ____.",,mkato|nukta|alama ya kuuliza|alama ya mshangao,mkato,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kusoma kwa ufasaha,"Kusoma kwa sauti kifungu cha habari/hadithi linganifu kwa hisia na kwa kuzingatia alama za uandishi (nukta, mkato, alama ya kuuliza na alama ya mshangao)",true_false,hard,Alama ya kuuliza (?) hutumika mwishoni mwa sentensi ya kawaida isiyo swali.,,,Uongo,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kusoma kwa ufasaha,"Kusoma kwa sauti kifungu cha habari/hadithi linganifu kwa hisia na kwa kuzingatia alama za uandishi (nukta, mkato, alama ya kuuliza na alama ya mshangao)",short_answer,medium,Taja alama nne za uandishi tunazozingatia tunaposoma kifungu cha habari kwa sauti na hisia.,,,"Nukta, mkato, alama ya kuuliza na alama ya mshangao.",,2,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kusoma kwa ufasaha,Kusoma kwa sauti kifungu cha habari/hadithi linganifu kwa kuzingatia matamshi sahihi ya maneno,mcq,easy,Chagua neno lililoandikwa kwa tahajia sahihi (swali la 1).,Shule|Chule|Sule|Shure,,Shule,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kusoma kwa ufasaha,Kusoma kwa sauti kifungu cha habari/hadithi linganifu kwa kuzingatia matamshi sahihi ya maneno,mcq,easy,Chagua neno lililoandikwa kwa tahajia sahihi (swali la 2).,Kupu|Kuku|Guku|Kuu,,Kuku,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kusoma kwa ufasaha,Kusoma kwa sauti kifungu cha habari/hadithi linganifu kwa kuzingatia matamshi sahihi ya maneno,mcq,medium,Ni tamshi gani sahihi la neno lenye maana ya mahali pa kuuzia bidhaa?,Duga|Tuka|Duka|Ruka,,Duka,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kusoma kwa ufasaha,Kusoma kwa sauti kifungu cha habari/hadithi linganifu kwa kuzingatia matamshi sahihi ya maneno,mcq,medium,Chagua neno lililoandikwa kwa tahajia sahihi (swali la 3).,Samagi|Tamaki|Samaji|Samaki,,Samaki,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kusoma kwa ufasaha,Kusoma kwa sauti kifungu cha habari/hadithi linganifu kwa kuzingatia matamshi sahihi ya maneno,mcq,hard,Chagua neno lililoandikwa kwa tahajia sahihi (swali la 4).,Nyani|Myani|Nyali|Nani,,Nyani,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kusoma kwa ufasaha,Kusoma kwa sauti kifungu cha habari/hadithi linganifu kwa kuzingatia matamshi sahihi ya maneno,sequencing,medium,"Panga herufi zifuatazo ili kuunda neno sahihi: d, u, k, a",,,duka,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi,"Kuunganisha sauti za herufi mwambatano (sh, th, mb, ny, ng, nd, kw, mw) na irabu ili kuunda silabi",mcq,easy,Sauti ya herufi 'sh' na 'a' zinapoungana huunda silabi gani?,Sha|Ash|Has|Sah,,Sha,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi,"Kuunganisha sauti za herufi mwambatano (sh, th, mb, ny, ng, nd, kw, mw) na irabu ili kuunda silabi",fill_blank,easy,Sauti ya herufi 'mb' na 'e' zinaunda silabi ____.,,mbe|beam|emb|bem,mbe,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi,"Kuunganisha sauti za herufi mwambatano (sh, th, mb, ny, ng, nd, kw, mw) na irabu ili kuunda silabi",mcq,medium,Ni silabi gani inayoundwa na sauti za herufi 'ny' na 'o'?,Ony|Nyo|Yon|Noy,,Nyo,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi,"Kuunganisha sauti za herufi mwambatano (sh, th, mb, ny, ng, nd, kw, mw) na irabu ili kuunda silabi",mcq,medium,Sauti za herufi 'ng' na 'u' zinaunda silabi gani?,Gun|Ung|Ngu|Nug,,Ngu,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi,"Kuunganisha sauti za herufi mwambatano (sh, th, mb, ny, ng, nd, kw, mw) na irabu ili kuunda silabi",fill_blank,medium,Sauti ya herufi 'nd' na 'i' zinaunda silabi ____.,,ndi|din|ind|nid,ndi,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi,"Kuunganisha sauti za herufi mwambatano (sh, th, mb, ny, ng, nd, kw, mw) na irabu ili kuunda silabi",mcq,hard,Silabi 'kwe' imeundwa na sauti za herufi zipi?,K na we|Kw na i|K na e|Kw na e,,Kw na e,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi,"Kuunganisha sauti za herufi mwambatano (sh, th, mb, ny, ng, nd, kw, mw) na irabu ili kuunda silabi",short_answer,hard,Andika silabi inayoundwa na sauti za herufi 'mw' na 'a'.,,,mwa,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi,Kutambua herufi kubwa na ndogo,matching,easy,Oanisha herufi kubwa na herufi ndogo inayolingana nayo (seti ya 1).,A::a||B::b||K::k||M::m,,"A - a, B - b, K - k, M - m",,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi,Kutambua herufi kubwa na ndogo,matching,medium,Oanisha herufi kubwa na herufi ndogo inayolingana nayo (seti ya 2).,D::d||N::n||T::t||S::s,,"D - d, N - n, T - t, S - s",,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi,Kutambua herufi kubwa na ndogo,mcq,easy,Ni herufi gani ndogo inayolingana na herufi kubwa 'L'?,l|t|i|j,,l,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi,Kutambua herufi kubwa na ndogo,mcq,easy,Ni herufi gani kubwa inayolingana na herufi ndogo 'g'?,C|G|O|Q,,G,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi,Kutambua herufi kubwa na ndogo,true_false,medium,Herufi kubwa 'F' na herufi ndogo 'f' ni herufi moja inayoandikwa kwa namna mbili tofauti.,,,Kweli,,1,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
