subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS017-Kidato I,Demonstrate mastery of the structure of the Earth,Demonstrate an understanding of the origin and the structure of the Earth and earth systems,"Explain the concept and scope of Geography (branches, importance and relationship with other disciplines)","Meaning, Branches and Scope of Geography",9,Discussion,Kuwaongoza Wanafunzi,Students correctly define Geography and list its main branches with their importance.,Wall charts|Textbooks|Pictures of physical and human landscapes|Marker pens,"TET(2023), GEOGRAPHY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Geography is the science that studies the Earth's surface, the physical features found on it, and the relationship between people and their environment. It has two broad branches: physical geography and human geography.","Physical geography studies natural features such as landforms, climate, soils and vegetation, while human geography studies population, settlements, economic activities and their interaction with the environment. Geography borrows from and relates to other disciplines such as geology, biology, economics and sociology, making it an integrating subject. Studying Geography helps learners understand how natural processes and human activities shape the world around them.","For example, a geographer studying Mount Kilimanjaro examines its physical formation (physical geography) as well as the tourism and farming activities of communities living around it (human geography).","Knowledge of Geography helps people understand weather patterns, choose suitable land for farming or settlement, and manage natural resources wisely.","Define Geography.::Geography is the study of the Earth's surface, its physical features, and the relationship between people and their environment.||State the two main branches of Geography.::Physical geography and human geography.||Name one discipline related to Geography.::Geology (also acceptable: biology, economics, or sociology).",
2023-JSS017-Kidato I,Demonstrate mastery of the structure of the Earth,Demonstrate an understanding of the origin and the structure of the Earth and earth systems,"Describe the Earth (origin, shape, size, position and movements of the earth in the solar system, and parallels and meridians)","Origin, Shape and Movements of the Earth",80,Question and Answer,Kuwaongoza Wanafunzi,"Students accurately describe the origin, shape, position and movements of the Earth, and locate places using parallels and meridians.",Globe|Picture of the solar system|World map|Chart showing latitudes and longitudes,"TET(2023), GEOGRAPHY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","The Earth is the third planet from the Sun in the solar system. According to the widely accepted nebular hypothesis, the Earth formed about 4.6 billion years ago from a rotating cloud of gas and dust that condensed under gravity.","The Earth is almost spherical in shape, slightly flattened at the poles and bulging at the equator, a shape called an oblate spheroid. It has two main movements: rotation, which is the spinning of the Earth on its own axis once every 24 hours causing day and night, and revolution, which is the movement of the Earth around the Sun once every 365¼ days causing the seasons. Parallels (lines of latitude) run east-west and measure distance north or south of the Equator, while meridians (lines of longitude) run north-south and measure distance east or west of the Greenwich (Prime) Meridian.","For example, the Equator (0° latitude) passes through Kenya just north of Tanzania, while the Greenwich Meridian (0° longitude) passes through the United Kingdom; together these two lines are used as reference points for locating any place on Earth's grid system.","Latitude and longitude coordinates are used daily in GPS navigation systems, in aviation, and in determining local time in different parts of the world.","What causes day and night on Earth?::The rotation of the Earth on its own axis.||How long does the Earth take to revolve around the Sun?::About 365¼ days (one year).||What is the difference between a parallel and a meridian?::A parallel (latitude) runs east-west and measures north-south position, while a meridian (longitude) runs north-south and measures east-west position.",
2023-JSS017-Kidato I,Demonstrate mastery of the structure of the Earth,Demonstrate an understanding of the major features of the Earth surface,"Describe major features of the Earth's surface (continents, oceans, major relief features, large inland water bodies and vegetation zones)","Continents, Oceans and Major Relief Features",76,Map reading,Kuwaongoza Wanafunzi,"Students correctly identify and describe the major continents, oceans, relief features, inland water bodies and vegetation zones of the world.",World map|Physical map|Atlas|Globe,"TET(2023), GEOGRAPHY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","The Earth's surface is made up of large landmasses called continents and vast bodies of salt water called oceans. There are seven continents: Africa, Asia, Europe, North America, South America, Australia and Antarctica, and five oceans: Pacific, Atlantic, Indian, Southern and Arctic.","Major relief features include mountains (e.g. fold mountains and volcanic mountains), plateaus, and plains, each formed by different geological processes such as folding, faulting and volcanic activity. Large inland water bodies include lakes and inland seas, which are important sources of fresh water. Vegetation zones such as tropical rainforest, savanna, desert and tundra are distributed across the Earth largely according to climate.","For example, Africa's Great Rift Valley contains large inland lakes such as Lake Victoria and Lake Tanganyika, and is bordered by volcanic mountains such as Mount Kilimanjaro, Africa's highest peak.","Understanding relief and vegetation helps farmers choose suitable crops, and helps planners decide where to build roads, settlements and dams.","Name the seven continents of the world.::Africa, Asia, Europe, North America, South America, Australia and Antarctica.||Give one example of a large inland water body in East Africa.::Lake Victoria (also acceptable: Lake Tanganyika).||What is a plateau?::A plateau is a raised, mostly flat area of land higher than the surrounding land.",
2023-JSS017-Kidato II,Demonstrate mastery of the structure of the Earth,Demonstrate an understanding of the origin and the structure of the Earth and earth systems,"Describe the internal structure of the Earth (crust, mantle, core) and their major characteristics (location, size/thickness, density and gross composition)",Internal Structure of the Earth,27,Discussion,Kuwaongoza Wanafunzi,"Students correctly describe the crust, mantle and core, and state their location, thickness, density and composition.",Model/diagram of the Earth's interior|Charts|Textbooks,"TET(2023), GEOGRAPHY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","The Earth is made up of three main internal layers: the crust, the mantle and the core. Each layer differs in thickness, density and composition.","The crust is the thin, outermost solid layer on which we live, made of light rocks and averaging about 5 to 70 kilometres thick. The mantle lies below the crust, is about 2,900 kilometres thick, and is made of dense, semi-molten silicate rock. The core is the innermost layer, made mostly of iron and nickel; it is divided into a liquid outer core and a solid inner core, and is the densest layer due to immense pressure and heat.","For example, molten rock (magma) that reaches the Earth's surface through volcanoes such as Ol Doinyo Lengai in Tanzania originates from partially melted material in the upper mantle.","Understanding the Earth's internal structure helps explain natural events such as volcanic eruptions and earthquakes, which affect where people can safely settle and build.","Name the three main internal layers of the Earth.::The crust, the mantle and the core.||Which layer of the Earth is the thinnest?::The crust.||What are the two main minerals that make up the Earth's core?::Iron and nickel.",
2023-JSS017-Kidato II,Demonstrate mastery of the structure of the Earth,Demonstrate an understanding of the origin and the structure of the Earth and earth systems,"Describe the main external Earth systems (Hydrosphere, Atmosphere and Biosphere)",External Systems of the Earth,24,Group work,Kuwaongoza Wanafunzi,"Students correctly describe the hydrosphere, atmosphere and biosphere and give examples of each.","Charts|World map|Pictures of water bodies, air layers and living organisms","TET(2023), GEOGRAPHY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Besides its internal layers, the Earth has external systems that support life: the hydrosphere, the atmosphere and the biosphere.","The hydrosphere consists of all the water on Earth, including oceans, lakes, rivers, groundwater and ice. The atmosphere is the layer of gases, mainly nitrogen and oxygen, that surrounds the Earth and protects it while enabling weather and climate. The biosphere is the zone where all living organisms, including plants, animals and humans, exist and interact with the hydrosphere and atmosphere.","For example, Lake Victoria (hydrosphere) supports fish and other aquatic life (biosphere), while evaporation from the lake contributes moisture to the surrounding atmosphere, influencing local rainfall.","These three systems interact to determine the weather, water supply and food production that people depend on every day.","What does the hydrosphere consist of?::All the water on Earth, including oceans, lakes, rivers, groundwater and ice.||Which two gases make up most of the atmosphere?::Nitrogen and oxygen.||What is the biosphere?::The zone of the Earth where all living organisms exist and interact.",
2023-JSS017-Kidato II,Demonstrate mastery of basic skills and techniques in Geography,Demonstrate an understanding of the basic techniques of map and photograph interpretation,"Describe the basic principles of reading and interpreting maps (key, symbols, direction, margin/frame, map title, scale and contour patterns)",Principles of Map Reading,16,Map reading,Kuwaongoza Wanafunzi,"Students correctly identify and explain the key, symbols, direction, margin, title, scale and contour patterns on a map.",Topographical maps|Atlas|Ruler|Compass,"TET(2023), GEOGRAPHY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",A map is a scaled representation of part of the Earth's surface drawn on a flat sheet of paper. Reading a map correctly requires understanding its basic elements.,"These elements include the key or legend, which explains the symbols used; symbols, which represent real features such as roads and rivers; direction, usually shown by a north arrow; the margin or frame, which borders the map; the map title, which tells what the map shows; the scale, which relates map distance to ground distance; and contour patterns, which are lines joining points of equal height and show the shape of the land.","For example, closely spaced contour lines on a topographical map of the Uluguru Mountains indicate steep slopes, while widely spaced contours indicate a gentle slope.","Map reading skills help people navigate to new places, plan travel routes, and locate services such as schools, hospitals and markets.",What is a map key or legend used for?::It explains the meaning of the symbols used on a map.||What do closely spaced contour lines indicate?::A steep slope.||What is map scale?::The relationship between distance on the map and the actual distance on the ground.,
2023-JSS017-Kidato II,Demonstrate mastery of basic skills and techniques in Geography,Demonstrate an understanding of the basic techniques of map and photograph interpretation,Reading and interpreting various type of maps and their importance (topographical and statistical map),Types and Uses of Maps,16,Practical exercise,Kuwaongoza Wanafunzi,Students distinguish between topographical and statistical maps and explain the importance of each.,Topographical maps|Statistical maps (choropleth/dot maps)|Atlas,"TET(2023), GEOGRAPHY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",Maps are classified into different types based on the information they show. Two common types are topographical maps and statistical maps.,"A topographical map shows the natural and human features of an area, including relief, drainage, vegetation, roads and settlements, using contour lines and symbols. A statistical map presents numerical data, such as population or rainfall distribution, using methods like dots, shading (choropleth) or graphs placed on a map base. Both types help users visualise spatial patterns that would be hard to understand from text alone.","For example, a topographical map of the Kilimanjaro region shows its relief and rivers, while a statistical (choropleth) map of Tanzania can show population density by region using different shades of colour.","Statistical maps help government planners decide where to build schools and hospitals based on population distribution, while topographical maps help engineers plan roads and dams.","What does a topographical map show?::The natural and human features of an area, such as relief, drainage, vegetation and settlements.||What does a statistical map show?::Numerical data, such as population or rainfall, distributed over an area.||Give one method used to show data on a statistical map.::Choropleth shading (also acceptable: dots or graphs).",
2023-JSS017-Kidato II,Demonstrate mastery of basic skills and techniques in Geography,Demonstrate an understanding of the basic techniques of map and photograph interpretation,"Describe the basic concept of photograph in Geography (meaning, types, elements and uses)",Introduction to Photographs in Geography,27,Discussion,Kuwaongoza Wanafunzi,"Students correctly explain the meaning, types, elements and uses of photographs in Geography.",Ground photographs|Aerial photographs|Magazines/newspapers|Camera,"TET(2023), GEOGRAPHY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","In Geography, a photograph is a pictorial record of part of the Earth's surface taken from the ground or from the air, used to study landscape and human activities.","There are three main types of photographs: ground photographs, taken at eye level from the ground; vertical (aerial) photographs, taken directly from above; and oblique photographs, taken from the air at an angle. Every photograph has elements such as the foreground, middle ground and background. Photographs are used in Geography to study land use, settlement patterns, vegetation cover and landform features.","For example, a vertical aerial photograph of Dar es Salaam can be used to study the pattern of roads, buildings and the harbour from directly above.","Photographs, including satellite images used in phones and maps applications, help people and planners monitor changes in towns, farms and forests over time.","What is a photograph in Geography?::A pictorial record of part of the Earth's surface taken from the ground or from the air.||Name the three main types of photographs.::Ground, vertical (aerial) and oblique photographs.||Give one use of photographs in Geography.::To study land use, settlement patterns or vegetation cover (any reasonable use).",
2023-JSS017-Kidato II,Demonstrate mastery of basic skills and techniques in Geography,Demonstrate an understanding of the basic techniques of map and photograph interpretation,"Describe the basic principles of photograph interpretation (identifying foreground, middle ground and background, associating objects with geographical phenomena)",Interpreting Ground and Aerial Photographs,26,Practical exercise,Kuwaongoza Wanafunzi,"Students correctly identify the foreground, middle ground and background of a photograph and associate objects in it with geographical phenomena.",Sample ground and aerial photographs|Magnifying glass|Worksheets,"TET(2023), GEOGRAPHY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",Photograph interpretation is the skill of identifying and explaining features shown in a photograph in relation to geographical processes and human activities.,"A photograph is normally divided into three parts for interpretation: the foreground, which is the area nearest to the camera; the middle ground, the area beyond the foreground; and the background, the area farthest away, often near the horizon. Interpreting a photograph involves identifying physical features (such as hills, rivers or vegetation) and human features (such as roads, buildings or farms) in each part and explaining the geographical processes that produced them.","For example, in a photograph of a farming village, the foreground may show cultivated fields, the middle ground may show houses and a road, and the background may show hills covered with forest.","Photograph interpretation skills are used by land surveyors, urban planners and environmental officers to assess land use and monitor environmental change.","What is the foreground of a photograph?::The area of the photograph nearest to the camera.||Why is the background of a photograph important in interpretation?::It shows features farthest from the camera, often near the horizon, helping to understand the wider landscape.||Give one human feature that can be identified in a photograph.::A road (also acceptable: buildings, farms, bridges).",
2023-JSS017-Kidato III,Demonstrate mastery of the structure of the Earth,"Demonstrate an understanding of the relationship between relief, climate and natural vegetation","Describe the major climatic regions of the world (tropical, temperate, polar and sub-tropical)",Major Climatic Regions of the World,25,Discussion,Kuwaongoza Wanafunzi,"Students correctly describe the characteristics and location of the tropical, sub-tropical, temperate and polar climatic regions.",World climate map|Charts|Graphs of temperature and rainfall,"TET(2023), GEOGRAPHY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",A climatic region is a large area of the Earth that experiences similar weather conditions of temperature and rainfall over a long period. The world is divided into major climatic regions.,"The tropical region lies near the Equator and has high temperatures and heavy rainfall throughout the year. The sub-tropical region lies just outside the tropics and often has hot, dry summers. The temperate region lies in the middle latitudes and experiences four distinct seasons with moderate temperatures. The polar region lies near the poles and has extremely low temperatures with little precipitation, mostly falling as snow.","For example, Tanzania lies within the tropical climatic region, experiencing generally high temperatures and distinct wet and dry seasons, unlike countries such as the United Kingdom which lie in the temperate region with four seasons.","Knowledge of climatic regions helps farmers select suitable crops and helps people plan clothing, housing and travel according to expected weather.","Which climatic region does Tanzania mainly belong to?::The tropical climatic region.||What is a key characteristic of the polar climatic region?::Extremely low temperatures with little precipitation, mostly as snow.||How many main seasons does the temperate region typically experience?::Four seasons.",
