subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,la_periods
2023-JSS017-Kidato I,Demonstrate mastery of the structure of the Earth,Demonstrate an understanding of the origin and the structure of the Earth and earth systems,"Explain the concept and scope of Geography (branches, importance and relationship with other disciplines)",9
2023-JSS017-Kidato I,Demonstrate mastery of the structure of the Earth,Demonstrate an understanding of the origin and the structure of the Earth and earth systems,"Describe the Earth (origin, shape, size, position and movements of the earth in the solar system, and parallels and meridians)",80
2023-JSS017-Kidato I,Demonstrate mastery of the structure of the Earth,Demonstrate an understanding of the major features of the Earth surface,"Describe major features of the Earth's surface (continents, oceans, major relief features, large inland water bodies and vegetation zones)",76
2023-JSS017-Kidato II,Demonstrate mastery of the structure of the Earth,Demonstrate an understanding of the origin and the structure of the Earth and earth systems,"Describe the internal structure of the Earth (crust, mantle, core) and their major characteristics (location, size/thickness, density and gross composition)",27
2023-JSS017-Kidato II,Demonstrate mastery of the structure of the Earth,Demonstrate an understanding of the origin and the structure of the Earth and earth systems,"Describe the main external Earth systems (Hydrosphere, Atmosphere and Biosphere)",24
2023-JSS017-Kidato II,Demonstrate mastery of basic skills and techniques in Geography,Demonstrate an understanding of the basic techniques of map and photograph interpretation,"Describe the basic principles of reading and interpreting maps (key, symbols, direction, margin/frame, map title, scale and contour patterns)",16
2023-JSS017-Kidato II,Demonstrate mastery of basic skills and techniques in Geography,Demonstrate an understanding of the basic techniques of map and photograph interpretation,Reading and interpreting various type of maps and their importance (topographical and statistical map),16
2023-JSS017-Kidato II,Demonstrate mastery of basic skills and techniques in Geography,Demonstrate an understanding of the basic techniques of map and photograph interpretation,"Describe the basic concept of photograph in Geography (meaning, types, elements and uses)",27
2023-JSS017-Kidato II,Demonstrate mastery of basic skills and techniques in Geography,Demonstrate an understanding of the basic techniques of map and photograph interpretation,"Describe the basic principles of photograph interpretation (identifying foreground, middle ground and background, associating objects with geographical phenomena)",26
2023-JSS017-Kidato III,Demonstrate mastery of the structure of the Earth,"Demonstrate an understanding of the relationship between relief, climate and natural vegetation","Describe the major climatic regions of the world (tropical, temperate, polar and sub-tropical)",25
2023-JSS017-Kidato III,Demonstrate mastery of the structure of the Earth,"Demonstrate an understanding of the relationship between relief, climate and natural vegetation","Describe the relationship between major features of the Earth's surface, climate, and natural vegetation",24
2023-JSS017-Kidato III,Demonstrate mastery of basic skills and techniques in Geography,Demonstrate an understanding of the basic techniques in land surveying,"Explore the basic tenets of surveying (meaning, types, equipment, methods, and importance)",28
2023-JSS017-Kidato III,Demonstrate mastery of basic skills and techniques in Geography,Demonstrate an understanding of the basic techniques in land surveying,Carry out simple tape/chain surveying,14
2023-JSS017-Kidato III,Demonstrate mastery of human geography,Carry out a project in Geography,Develop and carry out a simple research project in Geography,14
2023-JSS017-Kidato IV,Demonstrate mastery of human geography,"Demonstrate an understanding of the relationship between geography, environmental health, human settlements and economic activities","Describe the geographical factors that influence the spatial distribution of population, human settlements and economic activities (climate, soil, relief, vegetation, transport and water supply)",72
2023-JSS017-Kidato IV,Demonstrate mastery of human geography,"Demonstrate an understanding of the relationship between geography, environmental health, human settlements and economic activities",Examine the impacts of population distribution on economic activities and the environment (land use and settlement patterns changes),54
2023-JSS017-Kidato IV,Demonstrate mastery of human geography,Carry out a project in Geography,Complete and submit a report of the project started in Form Three,10
