subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS007-DRS II,Demonstrate Mastery of Basic English Language Skills,Develop listening and speaking skills in different contexts,Use singular and plural forms of names of objects found in the immediate environment,Singular and plural forms of objects found at home,4,Demonstration,Kuwaongoza Wanafunzi,Pupil correctly points to and names one object and more than one of the same object found at home using pictures.,"Pictures of objects found at home|Real objects from the classroom (chair, cup, plate)|Wall chart of home objects","TET(2023), LEARN ENGLISH, PUPIL'S BOOK, STANDARD TWO, TET, DAR ES SALAAM","Introduces the idea that when we have one item we use its singular name, and when we have more than one we add letters to show more than one; grounded in the book's picture-based Activity 1 under 'I use singular and plural forms.'","Pupils look at pictures showing one object and pictures showing many of the same object, then say the name for one (singular) and the name for more than one (plural).","One chair / many chairs, one spoon / many spoons, one cup / many cups (from the pictures of objects found at home).","At home, a pupil can tell their mother 'There is one spoon' or 'There are many spoons' when helping to set the table.","What do we call it when there is only one object?::Singular||What do we call it when there is more than one object?::Plural||Look at a picture of one cup and many cups. What are the two forms called?::One cup is singular, many cups is plural",
2023-JSS007-DRS II,Demonstrate Mastery of Basic English Language Skills,Develop listening and speaking skills in different contexts,Use singular and plural forms of names of objects found in the immediate environment,Plural forms of household objects using -s,5,Pair practice,Kuwaongoza Wanafunzi,Pupil correctly adds -s to at least four singular household object names to form their plural.,"Word cards for chair, spoon, cow, bed, jug, tree, axe, cup, plate, cat|Real classroom objects (chair, cup)|Word list chart","TET(2023), LEARN ENGLISH, PUPIL'S BOOK, STANDARD TWO, TET, DAR ES SALAAM","Most singular nouns are made plural simply by adding the letter -s, as shown in the book's word pairs chair-chairs, spoon-spoons, cow-cows, bed-beds.","Pupils read the singular form, then add -s and pronounce the plural form for each household item.","chair -> chairs, spoon -> spoons, cow -> cows, bed -> beds, jug -> jugs, tree -> trees, cup -> cups, plate -> plates, cat -> cats.","A pupil counting cups at home can say 'one cup, two cups' when helping wash dishes.",What is the plural of chair?::chairs||What is the plural of spoon?::spoons||What is the plural of cow?::cows||What is the plural of bed?::beds,
2023-JSS007-DRS II,Demonstrate Mastery of Basic English Language Skills,Develop listening and speaking skills in different contexts,Use singular and plural forms of names of objects found in the immediate environment,Plural forms with -es and -ies endings,5,Group discussion,Kuwaongoza Wanafunzi,"Pupil correctly forms the plural of words ending in -ch, -x, -sh with -es, and words ending in a consonant plus -y with -ies.","Word cards for match, box, dish, battery, puppy, berry|Pictures of matches, boxes, dishes, batteries, puppies, berries","TET(2023), LEARN ENGLISH, PUPIL'S BOOK, STANDARD TWO, TET, DAR ES SALAAM","Some words need -es to form the plural (match-matches, box-boxes, dish-dishes) while words ending in a consonant and y change the y to i and add -es (battery-batteries, puppy-puppies, berry-berries).",Pupils read each singular-plural pair aloud and identify the pattern used to form the plural.,"match -> matches, box -> boxes, dish -> dishes, battery -> batteries, puppy -> puppies, berry -> berries.",A pupil can ask for 'two boxes of chalk' or say 'three matches' when helping at home.,What is the plural of match?::matches||What is the plural of box?::boxes||What is the plural of puppy?::puppies||What is the plural of berry?::berries,
2023-JSS007-DRS II,Demonstrate Mastery of Basic English Language Skills,Develop listening and speaking skills in different contexts,Use singular and plural forms of names of objects found in the immediate environment,Using singular and plural forms in sentences about home objects,4,Demonstration,Kuwaongoza Wanafunzi,Pupil completes an oral sentence with the correct singular or plural form of a home object.,"Real objects (radio, broom, toy)|Pictures of a fan, mop, toy|Sentence strip chart","TET(2023), LEARN ENGLISH, PUPIL'S BOOK, STANDARD TWO, TET, DAR ES SALAAM","Singular and plural nouns are practised inside full sentences, not only as single words, following the book's oral sentence completion activity.","Pupils listen to a sentence with a gap and say it with the correct singular or plural form, e.g. 'I switch on the radio.' / 'I switch on the radios.'",Turn on the fan. / Turn on the fans. We use a broom to sweep the floor. / We use brooms to sweep the floor. I like playing with a toy. / I like playing with toys.,A pupil at home can correctly say 'Turn on the fans' when asked to switch on more than one fan.,Complete: I switch on the ___ (radio).::radio||Complete: We use a ___ to sweep the floor.::broom||Complete: I like playing with a ___.::toy,
2023-JSS007-DRS II,Demonstrate Mastery of Basic English Language Skills,Develop listening and speaking skills in different contexts,Use singular and plural forms of names of objects found in the immediate environment,Making oral sentences about pictures of home objects,3,Role play,Kuwaongoza Wanafunzi,"Pupil makes one complete, correctly formed oral sentence about a picture of a home object shown to them.",Pictures of various home objects|Picture cards,"TET(2023), LEARN ENGLISH, PUPIL'S BOOK, STANDARD TWO, TET, DAR ES SALAAM","Builds on earlier vocabulary by having pupils construct their own full sentence about a picture rather than just naming the object, as directed in the book's Activity 2 item 5.","Pupils look at a picture of one or more home objects and say a sentence describing what they see, choosing the correct singular or plural form.",I see one broom. / I see two brooms. There is a cup on the table. / There are cups on the table.,A pupil describing their home to a friend can say 'We have three chairs in our sitting room.',Make a sentence about one spoon.::e.g. I see one spoon.||Make a sentence about many spoons.::e.g. I see many spoons.||Make a sentence about a broom.::e.g. We use a broom to sweep.,
2023-JSS007-DRS II,Demonstrate Mastery of Basic English Language Skills,Develop listening and speaking skills in different contexts,Use singular and plural forms of names of objects found in the immediate environment,Singular and plural forms of objects found at school,5,Demonstration,Kuwaongoza Wanafunzi,Pupil correctly names the singular and plural forms of at least five school objects.,"Real school objects (pencil, book, pen, duster, sharpener)|Word cards for pencil, book, box, chair, pen, bell, clock, duster, desk, sharpener","TET(2023), LEARN ENGLISH, PUPIL'S BOOK, STANDARD TWO, TET, DAR ES SALAAM","Introduces plural forms of common objects found at school, grounded in the book's section 'Objects found at school', Activity 1 item 1.",Pupils read each singular-plural pair aloud and then point to the real object in the classroom.,"pencil -> pencils, book -> books, box -> boxes, chair -> chairs, pen -> pens, bell -> bells, clock -> clocks, duster -> dusters, desk -> desks, sharpener -> sharpeners.",A pupil can ask the teacher 'May I borrow two pencils?' using the correct plural form.,What is the plural of pencil?::pencils||What is the plural of book?::books||What is the plural of desk?::desks||What is the plural of duster?::dusters,
2023-JSS007-DRS II,Demonstrate Mastery of Basic English Language Skills,Develop listening and speaking skills in different contexts,Use singular and plural forms of names of objects found in the immediate environment,Counting and naming school objects shown in pictures,3,Group discussion,Kuwaongoza Wanafunzi,Pupil correctly counts and states the number of school objects shown in a picture using the plural form.,"Pictures of groups of school objects (pencils, books, chairs)|Counters","TET(2023), LEARN ENGLISH, PUPIL'S BOOK, STANDARD TWO, TET, DAR ES SALAAM","Applies plural vocabulary of school objects to counting, as directed in the book's Activity 1 item 2, 'Look at the pictures... say the number of objects.'",Pupils look at a picture showing several of the same school object and say how many there are using the plural form.,A picture with three pencils -> 'There are three pencils.' A picture with five books -> 'There are five books.',A pupil can count and report 'There are six chairs' when asked to check the classroom before class begins.,"If a picture shows four pens, what do you say?::There are four pens.||If a picture shows two clocks, what do you say?::There are two clocks.||If a picture shows one desk, what do you say?::There is one desk.",
2023-JSS007-DRS II,Demonstrate Mastery of Basic English Language Skills,Develop listening and speaking skills in different contexts,Use singular and plural forms of names of objects found in the immediate environment,Singular and plural forms of fruits and vehicles,5,Pair practice,Kuwaongoza Wanafunzi,"Pupil correctly gives the plural form of at least five fruit, vehicle, or object names from the list.","Real fruits (banana, orange) or pictures|Word cards for apple, banana, road, lemon, car, house, tyre, ball, dog, bus|Pictures of cars and buses","TET(2023), LEARN ENGLISH, PUPIL'S BOOK, STANDARD TWO, TET, DAR ES SALAAM","Extends singular/plural practice to fruits, vehicles and other everyday objects and animals, grounded in the book's 'Objects found at school' Activity 1 item 3.","Pupils read each singular-plural pair aloud, noting that most simply add -s while bus adds -es.","apple -> apples, banana -> bananas, car -> cars, house -> houses, tyre -> tyres, ball -> balls, dog -> dogs, bus -> buses.",A pupil buying fruit at the market can ask for 'two bananas' using the correct plural form.,What is the plural of apple?::apples||What is the plural of car?::cars||What is the plural of bus?::buses||What is the plural of dog?::dogs,
2023-JSS007-DRS II,Demonstrate Mastery of Basic English Language Skills,Develop listening and speaking skills in different contexts,Use singular and plural forms of names of objects found in the immediate environment,"Making sentences about pictures of school objects, fruits and vehicles",3,Role play,Kuwaongoza Wanafunzi,"Pupil makes a correctly formed sentence about a pictured school object, fruit, or vehicle.","Pictures of school objects, fruits and vehicles|Picture cards","TET(2023), LEARN ENGLISH, PUPIL'S BOOK, STANDARD TWO, TET, DAR ES SALAAM","Pupils use the vocabulary learnt to build full sentences about pictures, following the book's Activity 1 item 4.","Pupils look at a picture and make one sentence describing it, choosing singular or plural correctly.",I see one car. / I see three cars. There is a banana on the table. / There are bananas on the table.,A pupil can describe a picture in their exercise book by saying 'There are two buses on the road.',Make a sentence about one apple.::e.g. I see one apple.||Make a sentence about many cars.::e.g. I see many cars.||Make a sentence about a house.::e.g. This is a house.,
2023-JSS007-DRS II,Demonstrate Mastery of Basic English Language Skills,Develop listening and speaking skills in different contexts,Use singular and plural forms of names of objects found in the immediate environment,Counting objects and completing sentences with plural numbers,4,Group discussion,Kuwaongoza Wanafunzi,Pupil correctly fills in the missing number and plural noun when counting a group of objects in a sentence.,"Pictures of watches, ostriches, bottles, potatoes, bicycles|Number cards","TET(2023), LEARN ENGLISH, PUPIL'S BOOK, STANDARD TWO, TET, DAR ES SALAAM","Combines counting with plural noun forms, grounded in the book's Activity 1 item 5, 'Count the objects... fill their numbers in the blanks.'",Pupils count how many of an object are shown in a picture and complete the sentence 'There are ___ [plural noun].',There are ___ watches. There are ___ bottles. There are ___ tomatoes. There are ___ bicycles.,A pupil helping in a shop can say 'There are five bottles on the shelf.',Complete: There are ___ bicycles. (picture shows 3)::There are three bicycles.||Complete: There are ___ tomatoes. (picture shows 5)::There are five tomatoes.||What word do we use before a counted plural noun in these sentences?::There are,
