subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,question_type,difficulty,prompt,options,word_bank,correct_answer,solution_steps,marks,source,language
2023-JSS016-DRS V,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,"Kueleza mfumo wa mmeng'enyo wa chakula wa binadamu (maana, sehemu na kazi zake)",mcq,medium,Ni sehemu ipi ya mfumo wa mmeng'enyo wa chakula ambayo ufyonzwaji wa virutubisho kutoka kwenye chakula hufanyika?,Mfuko wa tumbo|Utumbo mwembamba|Umio|Utumbo mpana,,Utumbo mwembamba,Utumbo mwembamba una kazi ya kufyonza virutubisho kutoka kwenye chakula kilichomeng'enywa ili viweze kutumika mwilini.,1,"TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS016-DRS V,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,"Kueleza mfumo wa mmeng'enyo wa chakula wa binadamu (maana, sehemu na kazi zake)",mcq,easy,Ni sehemu ipi ya mfumo wa mmeng'enyo wa chakula inayozuia chakula kuingia kwenye njia ya hewa wakati wa kumeza?,Mfuko wa tumbo|Koloni|Kidakatonge|Umio,,Kidakatonge,Kidakatonge ni kifuniko kinachofunga njia ya hewa wakati wa kumeza chakula ili chakula kisiingie kwenye njia ya hewa.,1,"TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS016-DRS V,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,"Kueleza mfumo wa mmeng'enyo wa chakula wa binadamu (maana, sehemu na kazi zake)",mcq,easy,Ni sehemu ipi ya mfumo wa mmeng'enyo wa chakula ambayo uvunjaji wa chakula huanza?,Kinywa|Umio|Mfuko wa tumbo|Utumbo mwembamba,,Kinywa,"Mchakato wa mmeng'enyo wa chakula huanzia kinywani, ambako chakula hutafunwa na kuvunjwavunjwa na meno na kuchanganywa na mate.",1,"TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS016-DRS V,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,"Kueleza mfumo wa mmeng'enyo wa chakula wa binadamu (maana, sehemu na kazi zake)",mcq,medium,"Chakula kinapochakatwa ndani ya mfuko wa tumbo kwa msaada wa asidi na vimeng'enya, hubadilika kuwa mchanganyiko mzito unaoitwaje?",Chime|Kinyesi|Nyongo|Mate,,Chime,"Asidi na vimeng'enya vya tumboni hubadilisha chakula kuwa mchanganyiko mzito unaoitwa chime, ambao husafirishwa kwenda utumbo mwembamba.",1,"TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS016-DRS V,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,"Kueleza mfumo wa mmeng'enyo wa chakula wa binadamu (maana, sehemu na kazi zake)",fill_blank,medium,"Sehemu ya kwanza ya utumbo mwembamba, inayopokea vimeng'enya kutoka kongosho na nyongo kutoka kibofu nyongo, huitwa ______.",,Duodeni|Iliamu|Koloni|Puru,Duodeni,Duodeni ni sehemu ya mwanzo ya utumbo mwembamba inayopokea vimeng'enya kutoka kongosho na nyongo kutoka kibofu nyongo kwa ajili ya kuvunjavunja chakula.,1,"TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS016-DRS V,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,"Kueleza mfumo wa mmeng'enyo wa chakula wa binadamu (maana, sehemu na kazi zake)",fill_blank,medium,______ ni ogani inayozalisha vimeng'enya vinavyotumika kumeng'enya chakula na kuvipeleka kwenye duodeni.,,Kongosho|Ulimi|Koloni|Puru,Kongosho,Kongosho ni miongoni mwa ogani zinazounda mfumo wa mmeng'enyo wa chakula na huzalisha vimeng'enya vinavyopelekwa kwenye duodeni.,1,"TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS016-DRS V,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,"Kueleza mfumo wa mmeng'enyo wa chakula wa binadamu (maana, sehemu na kazi zake)",true_false,easy,Mtu yeyote anaweza kupata tatizo kwenye mfumo wa mmeng'enyo wa chakula asipofuata kanuni za ulaji wa chakula.,,,Kweli,Kutokufuata tabia sahihi za ulaji wa chakula kunaweza kusababisha kasoro mbalimbali za mfumo wa mmeng'enyo wa chakula kwa mtu yeyote.,1,"TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS016-DRS V,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,"Kueleza mfumo wa mmeng'enyo wa chakula wa binadamu (maana, sehemu na kazi zake)",true_false,hard,Sababu pekee ya vidonda vya tumbo ni kula vyakula vyenye asidi.,,,Uongo,"Vidonda vya tumbo pia husababishwa na kukaa na njaa kwa muda mrefu na maambukizi ya bakteria, si asidi pekee.",1,"TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS016-DRS V,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,"Kueleza mfumo wa mmeng'enyo wa chakula wa binadamu (maana, sehemu na kazi zake)",true_false,medium,Koloni ni sehemu ya kwanza ya utumbo mpana na hutumika kurejesha maji mwilini.,,,Kweli,Koloni ni sehemu ya kwanza ya utumbo mpana na hutumika kurejesha maji mwilini kutoka kwenye chakula kilichovunjwavunjwa.,1,"TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS016-DRS V,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,"Kueleza mfumo wa mmeng'enyo wa chakula wa binadamu (maana, sehemu na kazi zake)",short_answer,medium,Eleza kazi kuu ya utumbo mwembamba katika mmeng'enyo wa chakula.,,,Kufyonza virutubisho kutoka kwenye chakula kilichomeng'enywa ili viweze kutumika katika kazi mbalimbali mwilini.,"Utumbo mwembamba humalizia mmeng'enyo wa wanga, protini na mafuta kisha kufyonza virutubisho vilivyotokana na chakula hicho.",1,"TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
