subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS014-DRS IV,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,"Associate words with objects found in different contexts (e.g., home, hospital, market, bus station)",Identifying vocabulary from the home and school environment,2,Word walls,Kuwaongoza Wanafunzi,"A pupil correctly sorts at least eight words such as bed, desk, kitchen, classroom, blackboard and bathroom into the home or school column.",Word cards from Activity 1.1|Wall chart with Home and School columns|Dictionary,"TET(2023), ENGLISH, PUPIL'S BOOK, STANDARD FOUR, TET, DAR ES SALAAM","This lesson introduces pupils to vocabulary describing the places and things found at home and at school, drawn from the long word list in Activity 1.1 of the pupil's book, such as bedroom, kitchen, classroom, desk and blackboard. Pupils first read each word aloud and check its meaning in a dictionary before deciding where it belongs.","Some words clearly belong to the home, such as bedroom, kitchen and bathroom, while others belong to school, such as classroom, desk, blackboard and eraser; a few words like bag or medicine could belong to more than one place, so pupils must think carefully about the main context in which each word is used before placing it in a column.","Using the word list from Activity 1.1(a), pupils build a two-column chart: Home (bedroom, kitchen, bathroom, cupboard) and School (classroom, desk, blackboard, eraser, cafeteria), following the grouping table format given in Activity 1.1(b).","Knowing which words belong to the home and which belong to school helps a pupil describe their morning routine correctly, for example saying they leave their bedroom at home before entering their classroom at school.","Which column does 'kitchen' belong to, home or school?::Home||Which column does 'blackboard' belong to, home or school?::School||Name one word from the list that belongs to the school environment.::Classroom (or desk, blackboard, eraser, cafeteria)||Name one word from the list that belongs to the home environment.::Kitchen (or bedroom, bathroom, cupboard)",
2023-JSS014-DRS IV,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,"Associate words with objects found in different contexts (e.g., home, hospital, market, bus station)",Identifying vocabulary from the hospital environment,2,Direct/explicit instruction,Kuwaongoza Wanafunzi,"A pupil correctly identifies and explains the meaning of at least five bold hospital words from the passage 'A Visit to the Hospital', such as nurse, doctor, laboratory, syringe and pharmacy.",Text: A Visit to the Hospital|Dictionary|Pictures of hospital workers and equipment,"TET(2023), ENGLISH, PUPIL'S BOOK, STANDARD FOUR, TET, DAR ES SALAAM","This lesson introduces vocabulary from the hospital environment through the passage 'A Visit to the Hospital', in which Sarah is taken by her mother to see a doctor, then to the laboratory, and finally to the pharmacy.","The bold words in the passage name hospital workers and places, such as nurse, doctor, laboratory technician, pharmacist and patient, and hospital items such as laboratory coat, gloves, syringe and medicine; pupils use the dictionary to check the exact meaning of each bold word.","In the passage, the nurse greets Sarah and her mother, the doctor examines Sarah and sends her to the laboratory, the laboratory technician takes a blood sample with a syringe, and the pharmacist finally gives Sarah her medicine, as summarised in the table naming a person who examines patients (doctor), supports laboratory work (technician), or supplies medicine (pharmacist).",Knowing these hospital words helps a pupil understand what happens and who to ask for help when they or a family member visits a hospital or dispensary for treatment.,"Who greeted Sarah and her mother when they arrived at the hospital?::A nurse greeted them.||Who examines patients, diagnoses and treats medical conditions?::A doctor.||Where did the laboratory technician take Sarah's blood sample?::In the laboratory.||Who gave Sarah her medicine at the end of the story?::The pharmacist.",
2023-JSS014-DRS IV,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,"Associate words with objects found in different contexts (e.g., home, hospital, market, bus station)",Identifying vocabulary from the market environment,2,Storytelling and vocabulary building,Kuwaongoza Wanafunzi,"A pupil correctly names at least five market-related words from 'A Day at Tupendane Market', such as buyer, seller, discount, price and stall.",Text: A Day at Tupendane Market|Real or picture examples of fruits and vegetables|Dictionary,"TET(2023), ENGLISH, PUPIL'S BOOK, STANDARD FOUR, TET, DAR ES SALAAM","This lesson develops market vocabulary through the story 'A Day at Tupendane Market', where sellers such as Mwanaidi, Rejo and Yobu sell guavas, watermelons, tomatoes, onions, cloth and utensils to buyers.","Key words from the market environment include seller, buyer, stall, price, cost and discount, and pupils practise reading these words aloud and finding their meanings in the dictionary before using them to talk about the story.","In the story, Mwanaidi sells guavas at 100 shillings each and watermelons at 2000 shillings, but gives a mother a discount to 1500 shillings for being her first buyer, while Yobu lowers the price of a rice cooker from 40,000 to 35,000 shillings for a customer.",Learning market vocabulary helps a pupil bargain politely and understand prices when they accompany a parent to buy food or household items at a local market.,"What do people do at Tupendane Market on Saturdays?::They buy and sell goods such as fruits, vegetables and utensils.||What does the word 'discount' mean?::A reduction in the usual price of something.||How much did Mwanaidi first say the watermelon costs?::2000 shillings.||Name one thing Yobu sells at the market.::Clothes and utensils (for example a rice cooker).",
2023-JSS014-DRS IV,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,"Associate words with objects found in different contexts (e.g., home, hospital, market, bus station)",Identifying vocabulary from the bus station environment,2,Direct/explicit instruction,Kuwaongoza Wanafunzi,"A pupil correctly uses at least five bus station words such as ticket, booking, departure time, arrival time and passenger in a sentence about travelling.",Text: Makelo at the bus station|Sample bus ticket|Dictionary,"TET(2023), ENGLISH, PUPIL'S BOOK, STANDARD FOUR, TET, DAR ES SALAAM","This lesson introduces vocabulary for travelling by bus through the story of Makelo at Itilima bus station, who books a ticket online to travel to Pelalu village.","Words such as booking, ticket, seat number, reporting time, check in time, departure time, boarding time and arrival time describe the different stages of a bus journey, and pupils learn each word's meaning before using it to describe Makelo's trip.","Makelo booked seat number 3B for Tsh 20,000, with reporting time at 5:30 a.m., check in at 6:00 a.m. and departure at 6:30 a.m.; when he postponed his first trip because he fell sick, he later returned, waited for the afternoon bus, and boarded at 1:00 p.m.",Understanding bus station vocabulary helps a pupil read a real bus ticket correctly and know what time to arrive when travelling with their family.,"What time was Makelo's bus supposed to depart?::At 6:30 a.m.||Why did Makelo postpone his first planned trip?::Because he fell sick before the travel date.||What seat number did Makelo book?::Seat number 3B.||What does the word 'passenger' mean?::A person travelling on a bus, train or other vehicle.",
2023-JSS014-DRS IV,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,Match objects with their respective characteristics,Guessing objects from their uses through riddles,3,Games,Kuwaongoza Wanafunzi,"A pupil correctly guesses at least six household objects described by their characteristics or uses in the word game, such as broom, cupboard, key and comb.","Riddle cards from Activity 1.1(c)|Real household objects (broom, key, comb)|Response chart","TET(2023), ENGLISH, PUPIL'S BOOK, STANDARD FOUR, TET, DAR ES SALAAM","This lesson uses a guessing game in which pupils listen to a statement describing an object by what it looks like or what it is used for, then say the name of the object, following the format in Activity 1.1(c) of the pupil's book.","Each riddle gives a characteristic or use of an object rather than its name, for example 'I'm something you use to brush your teeth', and pupils must match that description to the correct object name, matching objects to their characteristics rather than simply naming them from a picture.","Example riddles from the book: 'I'm something you use to sweep the house compound' (broom), 'I'm a piece of house furniture with a door and shelves used to store cups, glasses and plates' (cupboard), and 'I'm something you use to open or lock a house door' (key).","Describing an object by its characteristics helps a pupil ask for or explain a household item even when they briefly forget its exact name, for example describing a mop as 'the thing we use to clean the floor'.",I'm something you use to sweep the house compound. What am I?::A broom.||I'm something you use to open or lock a house door. What am I?::A key.||I'm something you use to comb your hair. What am I?::A comb.||I'm a piece of furniture with a door and shelves used to store plates and cups. What am I?::A cupboard.,
2023-JSS014-DRS IV,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,Match objects with their respective characteristics,Matching people with the tasks they perform at the hospital,2,Matching,Kuwaongoza Wanafunzi,"A pupil correctly matches at least four hospital workers, such as doctor, laboratory technician, pharmacist and nurse, with the characteristic task each one performs.",Task description cards from Activity 1.2(b)|Pictures of hospital workers,"TET(2023), ENGLISH, PUPIL'S BOOK, STANDARD FOUR, TET, DAR ES SALAAM","This lesson helps pupils match each hospital worker with the characteristic activity that identifies their job, based on the descriptions given in Activity 1.2(b) of the pupil's book.","Each description names a characteristic action, such as examining and treating patients, conducting laboratory tests, or supplying medicine, and pupils must identify which hospital worker is being described by that characteristic before writing the correct job title.","From the book: the person who 'examines patients, diagnoses and treats medical conditions' is the doctor; the person who 'conducts and supports scientific investigations in the laboratory' is the laboratory technician; the person who 'supplies and sells medicines' is the pharmacist; and the person who 'is registered to receive medical treatment' is the patient.","Matching people with their tasks helps a pupil know who to approach for help at a hospital, for example asking the pharmacist rather than the doctor for medicine already prescribed.","Who examines patients, diagnoses and treats medical conditions?::The doctor.||Who conducts and supports scientific investigations in the laboratory?::The laboratory technician.||Who supplies and sells medicines?::The pharmacist.||Who receives medical treatment at a hospital?::The patient.",
2023-JSS014-DRS IV,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,Match objects with their respective characteristics,Matching pictures of hospital objects with their names,2,Matching,Kuwaongoza Wanafunzi,"A pupil correctly matches at least four pictures of hospital objects with their correct names, including medicine, syringe, surgical scissors and bandage.","Picture cards of hospital objects from Activity 1.2(c)|Word cards: medicine, syringe, surgical scissors, laboratory coat, bandage","TET(2023), ENGLISH, PUPIL'S BOOK, STANDARD FOUR, TET, DAR ES SALAAM","This lesson practises matching pictures of common hospital objects with their correct English names, as shown in the picture-matching table of Activity 1.2(c).","Each object has a distinct characteristic that helps identify it in a picture, for example a syringe is a narrow tube with a needle used for injections, while a laboratory coat is a long white coat worn by hospital workers, and pupils use these characteristics to choose the correct name for each picture.","The book's matching list pairs pictures with the names medicine, syringe, surgical scissors, laboratory coat (or lab coat), and bandage, requiring pupils to look carefully at each picture's shape and use before matching it.",Recognising hospital objects by sight and name helps a pupil stay calm and understand what a nurse or doctor is doing when using items such as a syringe or bandage during treatment.,What is the name of the object used to give an injection?::A syringe.||What is the name of the long white coat worn by hospital workers?::A laboratory coat (lab coat).||What is used to wrap around a wound?::A bandage.||What tool would a doctor use to cut during a small operation?::Surgical scissors.,
2023-JSS014-DRS IV,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,Construct short sentences using vocabulary referring to objects found in different settings,Writing sentences using household vocabulary,3,Independent writing exercise,Kuwaongoza Wanafunzi,"A pupil writes a correct and meaningful sentence for at least four of the words grandmother, house, wooden door, frying pan, household tools and utensils.",Word list from Activity 1.1(e)|Exercise books|Chalkboard,"TET(2023), ENGLISH, PUPIL'S BOOK, STANDARD FOUR, TET, DAR ES SALAAM","This lesson asks pupils to write the meaning of each word from Activity 1.1(e) and then construct a short sentence using it, based on vocabulary met in the story 'A visit to my grandmother's house'.","After giving the meaning of a word such as frying pan or household tools, a pupil writes a complete sentence that shows they understand how the word is used, for example describing a tool or utensil seen at home.",Example sentences a pupil might write: 'My grandmother lives in a small village.' 'The wooden door of our house is very heavy.' 'My mother uses a frying pan to cook eggs.' 'We keep our household tools near the door.',"Being able to construct sentences about household tools and utensils helps a pupil describe chores they do at home, such as fetching a frying pan or a hoe when asked by a parent.",Write a sentence using the word 'frying pan'.::My mother uses a frying pan to cook chapatti.||Write a sentence using the word 'grandmother'.::My grandmother lives in Mbeje village.||Write a sentence using the word 'household tools'.::We keep our household tools near the door.||Write a sentence using the word 'utensils'.::The utensils are kept in the cupboard.,
2023-JSS014-DRS IV,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,Construct short sentences using vocabulary referring to objects found in different settings,Writing sentences using market vocabulary from 'A Day at Tupendane Market',2,Independent writing exercise,Kuwaongoza Wanafunzi,"A pupil writes a grammatically correct sentence for at least four bold words from the market story, such as buyer, seller, discount and stall.",Text: A Day at Tupendane Market|Exercise books,"TET(2023), ENGLISH, PUPIL'S BOOK, STANDARD FOUR, TET, DAR ES SALAAM","Using the bold words from 'A Day at Tupendane Market', pupils practise writing their own sentences that show the meaning of each market-related word in context.","Pupils choose words such as buyer, seller, discount, price and cost from the story and write one sentence for each, making sure the sentence clearly shows what the word means in a market setting.",Example sentences: 'The seller arranged her guavas neatly on the stall.' 'The buyer asked for a discount on the watermelon.' 'The price of the rice cooker was too high for her.',"Writing sentences with market vocabulary helps a pupil describe a shopping trip with their family accurately, for example noting the price they paid or the discount they received.","Write a sentence using the word 'seller'.::The seller arranged her fruits on the stall.||Write a sentence using the word 'discount'.::Mwanaidi gave the mother a discount on the watermelon.||Write a sentence using the word 'buyer'.::The buyer paid for the maize flour.||Write a sentence using the word 'price'.::The price of the rice cooker was 40,000 shillings.",
2023-JSS014-DRS IV,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,Construct short sentences using vocabulary referring to objects found in different settings,Writing sentences using travel vocabulary from the bus station story,2,Independent writing exercise,Kuwaongoza Wanafunzi,"A pupil writes a correct sentence for at least four travel words from Activity 1.4(c), such as booking, ticket, departure time and boarding time.",Word list from Activity 1.4(c)|Text: Makelo at the bus station|Exercise books,"TET(2023), ENGLISH, PUPIL'S BOOK, STANDARD FOUR, TET, DAR ES SALAAM","Following the story of Makelo at the bus station, pupils write one sentence for each of the travel-related words listed in Activity 1.4(c), such as postpone, seat number, trip, booking and departure time.","Each sentence should show a clear understanding of the word's meaning within the context of travelling by bus, similar to how the words were used in Makelo's story.",Example sentences: 'Makelo made an online booking two days before travelling.' 'He postponed his trip because he fell sick.' 'The departure time for the bus was 6:30 a.m.',"Constructing sentences with travel vocabulary helps a pupil explain their own or their family's bus journey clearly, including booking, departure and arrival details.",Write a sentence using the word 'booking'.::Makelo made an online booking two days before travelling.||Write a sentence using the word 'postpone'.::He had to postpone his trip because he was sick.||Write a sentence using the word 'departure time'.::The departure time for the bus was 6:30 a.m.||Write a sentence using the word 'ticket'.::The ticket cost twenty thousand shillings.,
