subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,question_type,difficulty,prompt,options,word_bank,correct_answer,solution_steps,marks,source,language
2023-JSS001-DRS V,Kumudu Misingi ya awali ya kihisabati (v),Kuonesha uelewa wa vipimo (v),"Kuzidisha vipimo vya urefu, uzani na ujazo",calculation,easy,Zidisha m 17 sm 72 mm 9 kwa 2.,,,m 35 sm 45 mm 8,"Panga vipimo kwa wima kuanzia kipimo kikubwa kwenda kidogo: m, sm, mm. Zidisha mm 9 kwa 2 upate mm 18. Kumbuka, sm 1 = mm 10, hivyo mm 18 ni sawa na sm 1 na mm 8; andika 8 kwenye safu ya mm. Zidisha sm 72 kwa 2 upate sm 144, jumlisha na sm 1 uliyopata kutoka kwenye mm ili kupata sm 145. Kumbuka, m 1 = sm 100, hivyo sm 145 ni sawa na m 1 na sm 45; andika 45 kwenye safu ya sm. Zidisha m 17 kwa 2 upate m 34, jumlisha na m 1 uliyopata kutoka kwenye sm ili kupata m 35; andika 35 kwenye safu ya m. Kwa hiyo, jibu ni m 35 sm 45 mm 8.",2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS001-DRS V,Kumudu Misingi ya awali ya kihisabati (v),Kuonesha uelewa wa vipimo (v),"Kuzidisha vipimo vya urefu, uzani na ujazo",calculation,hard,Zidisha dag 9 dg 41 mg 35 kwa 11.,,,dag 103 dg 54 mg 85,"Panga vipimo kwa wima kuanzia kipimo kidogo kwenda kikubwa: dag, dg, mg. Zidisha mg 35 kwa 11 upate mg 385. Kumbuka, dg 1 = mg 100, hivyo mg 385 ni sawa na dg 3 na mg 85; andika 85 kwenye safu ya mg. Zidisha dg 41 kwa 11 upate dg 451, jumlisha na dg 3 uliyopata kutoka kwenye mg ili kupata dg 454. Kumbuka, dag 1 = dg 100, hivyo dg 454 ni sawa na dag 4 na dg 54; andika 54 kwenye safu ya dg. Zidisha dag 9 kwa 11 upate dag 99, jumlisha na dag 4 uliyopata kutoka kwenye dg ili kupata dag 103; andika 103 kwenye safu ya dag. Kwa hiyo, jibu ni dag 103 dg 54 mg 85.",3,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS001-DRS V,Kumudu Misingi ya awali ya kihisabati (v),Kuonesha uelewa wa vipimo (v),"Kuzidisha vipimo vya urefu, uzani na ujazo",calculation,medium,Zidisha L 21 mL 421 kwa 5.,,,L 107 mL 105,"Zidisha mL 421 kwa 5 upate mL 2105. Kumbuka, L 1 = mL 1000, hivyo mL 2105 ni sawa na L 2 na mL 105; andika 105 kwenye safu ya mL. Zidisha L 21 kwa 5 upate L 105, jumlisha na L 2 uliyopata kutoka kwenye mL ili kupata L 107. Kwa hiyo, jibu ni L 107 mL 105.",2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS001-DRS V,Kumudu Misingi ya awali ya kihisabati (v),Kuonesha uelewa wa vipimo (v),"Kuzidisha vipimo vya urefu, uzani na ujazo",calculation,easy,Vitabu 9 vya aina moja vina upana sawa. Kila kimoja kina upana wa sm 3 na mm 8. Tafuta jumla ya upana wa vitabu hivyo katika sm na mm.,,,sm 34 mm 2,"Zidisha mm 8 kwa 9 upate mm 72. Kumbuka, sm 1 = mm 10, hivyo mm 72 ni sawa na sm 7 na mm 2; andika 2 kwenye safu ya mm. Zidisha sm 3 kwa 9 upate sm 27, jumlisha na sm 7 uliyopata kutoka kwenye mm ili kupata sm 34. Kwa hiyo, jumla ya upana wa vitabu hivyo ni sm 34 mm 2.",1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS001-DRS V,Kumudu Misingi ya awali ya kihisabati (v),Kuonesha uelewa wa vipimo (v),"Kuzidisha vipimo vya urefu, uzani na ujazo",calculation,hard,Katika mji wa Makanya kuna barabara mbili. Barabara ya kwanza ina urefu wa km 257 na m 625. Barabara ya pili ina urefu mara 5 ya barabara ya kwanza. Tafuta urefu wa barabara ya pili.,,,"km 1,288 m 125","Zidisha m 625 kwa 5 upate m 3125. Kumbuka, km 1 = m 1000, hivyo m 3125 ni sawa na km 3 na m 125; andika 125 kwenye safu ya m. Zidisha km 257 kwa 5 upate km 1285, jumlisha na km 3 uliyopata kutoka kwenye m ili kupata km 1288. Kwa hiyo, barabara ya pili ina urefu wa km 1,288 na m 125.",3,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS001-DRS V,Kumudu Misingi ya awali ya kihisabati (v),Kuonesha uelewa wa vipimo (v),"Kuzidisha vipimo vya urefu, uzani na ujazo",calculation,hard,"Kopo la mafuta lina uzani wa kg 16 na g 130. Sanduku lenye makopo 22 ya aina hiyo litakuwa na uzani gani wa mafuta, bila kuhesabu uzani wa sanduku lenyewe?",,,kg 354 g 860,"Zidisha g 130 kwa 22 upate g 2860. Kumbuka, kg 1 = g 1000, hivyo g 2860 ni sawa na kg 2 na g 860; andika 860 kwenye safu ya g. Zidisha kg 16 kwa 22 upate kg 352, jumlisha na kg 2 uliyopata kutoka kwenye g ili kupata kg 354. Kwa hiyo, sanduku hilo litakuwa na uzani wa kg 354 na g 860.",3,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS001-DRS V,Kumudu Misingi ya awali ya kihisabati (v),Kuonesha uelewa wa vipimo (v),"Kuzidisha vipimo vya urefu, uzani na ujazo",calculation,medium,Watu 60 walitumia lita 25 na mililita 750 za maji kila mmoja. Tafuta jumla ya maji yaliyotumika na watu wote katika lita.,,,"L 1,545","Zidisha mL 750 kwa 60 upate mL 45000. Kumbuka, L 1 = mL 1000, hivyo mL 45000 ni sawa na L 45 na mL 0. Zidisha L 25 kwa 60 upate L 1500, jumlisha na L 45 uliyopata kutoka kwenye mL ili kupata L 1545. Kwa hiyo, jumla ya maji yaliyotumika ni L 1,545.",2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS001-DRS V,Kumudu Misingi ya awali ya kihisabati (v),Kuonesha uelewa wa vipimo (v),"Kugawanya vipimo vya urefu, uzani na ujazo",calculation,medium,Ubao wenye urefu wa m 4 sm 68 mm 5 ulikatwa katika vipande 5 vyenye urefu sawa. Tafuta urefu wa kila kipande.,,,sm 93 mm 7,"Gawanya m 4 kwa 5; haitoshelezi kupata namba nzima. Badili m 4 kuwa sm kwa kuzidisha kwa 100 ili kupata sm 400, kisha jumlisha na sm 68 uliyopewa kupata sm 468. Gawanya sm 468 kwa 5 upate sm 93 baki sm 3. Badili sm 3 zilizobaki kuwa mm kwa kuzidisha kwa 10 ili kupata mm 30, jumlisha na mm 5 uliyopewa kupata mm 35. Gawanya mm 35 kwa 5 upate mm 7. Kwa hiyo, kila kipande kina urefu wa sm 93 mm 7.",2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS001-DRS V,Kumudu Misingi ya awali ya kihisabati (v),Kuonesha uelewa wa vipimo (v),"Kugawanya vipimo vya urefu, uzani na ujazo",calculation,medium,Mfuko wa mchele wenye uzani wa kg 63 na g 728 uligawanywa sehemu 7 sawa. Tafuta uzani wa kila sehemu.,,,kg 9 g 104,"Gawanya kg 63 kwa 7 upate kg 9; andika 9 kwenye safu ya kg. Gawanya g 728 kwa 7 upate g 104; andika 104 kwenye safu ya g. Kwa hiyo, kila sehemu ina uzani wa kg 9 na g 104.",2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS001-DRS V,Kumudu Misingi ya awali ya kihisabati (v),Kuonesha uelewa wa vipimo (v),"Kugawanya vipimo vya urefu, uzani na ujazo",calculation,medium,Ndoo yenye ujazo wa L 6 mL 720 iligawanywa katika sehemu 8 sawa. Tafuta ujazo wa kila sehemu.,,,mL 840,"Gawanya L 6 kwa 8; haitoshelezi kupata namba nzima. Badili L 6 kuwa mL kwa kuzidisha kwa 1000 ili kupata mL 6000, jumlisha na mL 720 uliyopewa kupata mL 6720. Gawanya mL 6720 kwa 8 upate mL 840. Kwa hiyo, kila sehemu ina ujazo wa mL 840.",2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
