subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS014-Kidato I,Manage information search from different sources for lifelong learning,Use ICT tools to search for information from different sources,"Familiarise with various types of search engines (e.g., Google, Google Scholar, Bing)",Searching for information: Familiarise with various types of search engines,9,Task-based learning,Kuwaongoza Wanafunzi,Students are able to familiarise with various types of search engines accurately and confidently.,Computers/smartphones with internet access|Projector|Sample search results,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",This lesson introduces students to using ICT tools to familiarise with various types of search engines. Effective information search skills allow a learner to locate reliable material quickly for study and lifelong learning.,"Students learn the difference between general search engines and specialised ones (e.g., Google, Google Scholar), and practise typing focused keywords instead of full sentences. They also learn to judge the reliability of a source by checking its author, date and domain, and to save or bookmark useful materials such as books, journals and articles for later use.","For example, a student researching 'causes of deforestation in Tanzania' types the keywords 'deforestation causes Tanzania' into a search engine, then compares results from a news site and an educational site to see which gives more reliable information.","Learners use these same search skills at home or in a cyber cafe to complete homework, prepare presentations, or find information for personal projects.","Name two examples of search engines that can be used to find information.::Any two of: Google, Google Scholar, Bing.||Why is it important to check the source of information found online?::To make sure the information is accurate and reliable before using it.||Give one keyword phrase you would type to search for information about climate change.::Any reasonable focused phrase, e.g. 'causes of climate change'.",
2023-JSS014-Kidato I,Manage information search from different sources for lifelong learning,Use ICT tools to search for information from different sources,"Utilise ICT tools to search for general information (e.g., books, journals)",Searching for information: Utilise ICT tools to search for general information,9,Demonstration,Kuwaongoza Wanafunzi,Students are able to utilise ICT tools to search for general information accurately and confidently.,Projector|Sample search results|Worksheet,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",This lesson introduces students to using ICT tools to utilise ICT tools to search for general information. Effective information search skills allow a learner to locate reliable material quickly for study and lifelong learning.,"Students learn the difference between general search engines and specialised ones (e.g., Google, Google Scholar), and practise typing focused keywords instead of full sentences. They also learn to judge the reliability of a source by checking its author, date and domain, and to save or bookmark useful materials such as books, journals and articles for later use.","For example, a student researching 'causes of deforestation in Tanzania' types the keywords 'deforestation causes Tanzania' into a search engine, then compares results from a news site and an educational site to see which gives more reliable information.","Learners use these same search skills at home or in a cyber cafe to complete homework, prepare presentations, or find information for personal projects.","Name two examples of search engines that can be used to find information.::Any two of: Google, Google Scholar, Bing.||Why is it important to check the source of information found online?::To make sure the information is accurate and reliable before using it.||Give one keyword phrase you would type to search for information about climate change.::Any reasonable focused phrase, e.g. 'causes of climate change'.",
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Develop listening skills,Answer questions based on information from presentations/tasks,Listening task: Answer questions based on information from presentations/tasks,4,Discussion,Kuwaongoza Wanafunzi,Students are able to answer questions based on information from presentations/tasks accurately and confidently.,Audio recordings|Radio/TV clips|Flashcards,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","This lesson helps students to answer questions based on information from presentations/tasks after listening to spoken texts such as presentations, stories or recordings. Strong listening comprehension is the foundation for accurate spoken and written responses.","Students listen attentively to an oral text (a presentation, recording, or teacher narration), note down key words and ideas, and then use these notes to respond, summarise or paraphrase what they heard. Emphasis is placed on listening for gist first, then for specific details, before producing an accurate spoken or written response.","For example, after listening to a short recorded story about a market day, students identify who the characters are, what happened first, next and last, and then retell the story in their own words to a partner.","This skill helps learners follow announcements, instructions and conversations correctly in everyday situations such as at school, at home or on the radio.",What should a listener do before trying to answer questions about a spoken text?::Listen attentively for the overall meaning (gist) before focusing on specific details.||Why is note-taking useful while listening?::It helps the listener remember key ideas to use when responding or summarising.||State one way to check that you understood a spoken message correctly.::Restate or paraphrase the message back to the speaker to confirm understanding.,
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Develop listening skills,Practise pronunciation of words from oral and audio/audio-visual sources,Pronunciation practice: Practise pronunciation of words from oral and audio/audio-visual s,4,Drill,Kuwaongoza Wanafunzi,Students are able to practise pronunciation of words from oral and audio/audio-visual sources accurately and confidently.,Audio recordings|Word cards|Dictionary,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","This lesson focuses on helping students to practise pronunciation of words from oral and audio/audio-visual sources, building intelligible pronunciation and fluency in spoken English.","Students listen to a model (teacher or recording) pronouncing target words or sounds correctly, then practise through repetition, tongue twisters, games or dictation. Attention is paid to sound distinctions (minimal pairs), word stress, and vowel length, since these features change the meaning of words in English.","For example, students practise the minimal pair 'ship' and 'sheep', noting that the short vowel /ɪ/ in 'ship' differs from the long vowel /iː/ in 'sheep', and that mispronouncing one changes the meaning of the word.","Clear pronunciation helps learners communicate confidently and be understood correctly in conversations, interviews and presentations.","Give one pair of words that sound almost the same but have different meanings.::Any correct minimal pair, e.g. 'ship/sheep' or 'cat/cut'.||Why is word stress important in English pronunciation?::Because placing stress on the wrong syllable can change the meaning or make a word hard to understand.||What technique can a learner use to practise difficult sounds?::Repeating tongue twisters or words after a model speaker (drilling).",
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Develop listening skills,Write words heard from oral and audio/audio-visual sources,Pronunciation practice: Write words heard from oral and audio/audio-visual sources,4,Dictation,Kuwaongoza Wanafunzi,Students are able to write words heard from oral and audio/audio-visual sources accurately and confidently.,Word cards|Dictionary|Mirror for articulation practice,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","This lesson focuses on helping students to write words heard from oral and audio/audio-visual sources, building intelligible pronunciation and fluency in spoken English.","Students listen to a model (teacher or recording) pronouncing target words or sounds correctly, then practise through repetition, tongue twisters, games or dictation. Attention is paid to sound distinctions (minimal pairs), word stress, and vowel length, since these features change the meaning of words in English.","For example, students practise the minimal pair 'ship' and 'sheep', noting that the short vowel /ɪ/ in 'ship' differs from the long vowel /iː/ in 'sheep', and that mispronouncing one changes the meaning of the word.","Clear pronunciation helps learners communicate confidently and be understood correctly in conversations, interviews and presentations.","Give one pair of words that sound almost the same but have different meanings.::Any correct minimal pair, e.g. 'ship/sheep' or 'cat/cut'.||Why is word stress important in English pronunciation?::Because placing stress on the wrong syllable can change the meaning or make a word hard to understand.||What technique can a learner use to practise difficult sounds?::Repeating tongue twisters or words after a model speaker (drilling).",
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Develop listening skills,Reproduce messages from oral presentations,Listening task: Reproduce messages from oral presentations,3,Presentation,Kuwaongoza Wanafunzi,Students are able to reproduce messages from oral presentations accurately and confidently.,Radio/TV clips|Flashcards|Worksheet,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","This lesson helps students to reproduce messages from oral presentations after listening to spoken texts such as presentations, stories or recordings. Strong listening comprehension is the foundation for accurate spoken and written responses.","Students listen attentively to an oral text (a presentation, recording, or teacher narration), note down key words and ideas, and then use these notes to respond, summarise or paraphrase what they heard. Emphasis is placed on listening for gist first, then for specific details, before producing an accurate spoken or written response.","For example, after listening to a short recorded story about a market day, students identify who the characters are, what happened first, next and last, and then retell the story in their own words to a partner.","This skill helps learners follow announcements, instructions and conversations correctly in everyday situations such as at school, at home or on the radio.",What should a listener do before trying to answer questions about a spoken text?::Listen attentively for the overall meaning (gist) before focusing on specific details.||Why is note-taking useful while listening?::It helps the listener remember key ideas to use when responding or summarising.||State one way to check that you understood a spoken message correctly.::Restate or paraphrase the message back to the speaker to confirm understanding.,
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Produce short and coherent oral messages with intelligible pronunciation and fluency,Distinguish words with minimal sound distinctions that have different meanings (cut/cat; paper/pepper; date/debt),Pronunciation practice: Distinguish words with minimal sound distinctions that have differ,4,Modelling,Kuwaongoza Wanafunzi,Students are able to distinguish words with minimal sound distinctions that have different meanings accurately and confidently.,Dictionary|Mirror for articulation practice|Audio recordings,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","This lesson focuses on helping students to distinguish words with minimal sound distinctions that have different meanings, building intelligible pronunciation and fluency in spoken English.","Students listen to a model (teacher or recording) pronouncing target words or sounds correctly, then practise through repetition, tongue twisters, games or dictation. Attention is paid to sound distinctions (minimal pairs), word stress, and vowel length, since these features change the meaning of words in English.","For example, students practise the minimal pair 'ship' and 'sheep', noting that the short vowel /ɪ/ in 'ship' differs from the long vowel /iː/ in 'sheep', and that mispronouncing one changes the meaning of the word.","Clear pronunciation helps learners communicate confidently and be understood correctly in conversations, interviews and presentations.","Give one pair of words that sound almost the same but have different meanings.::Any correct minimal pair, e.g. 'ship/sheep' or 'cat/cut'.||Why is word stress important in English pronunciation?::Because placing stress on the wrong syllable can change the meaning or make a word hard to understand.||What technique can a learner use to practise difficult sounds?::Repeating tongue twisters or words after a model speaker (drilling).",
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Produce short and coherent oral messages with intelligible pronunciation and fluency,Practise pronunciation with proper word stress assignment,Pronunciation practice: Practise pronunciation with proper word stress assignment,4,Games,Kuwaongoza Wanafunzi,Students are able to practise pronunciation with proper word stress assignment accurately and confidently.,Mirror for articulation practice|Audio recordings|Word cards,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","This lesson focuses on helping students to practise pronunciation with proper word stress assignment, building intelligible pronunciation and fluency in spoken English.","Students listen to a model (teacher or recording) pronouncing target words or sounds correctly, then practise through repetition, tongue twisters, games or dictation. Attention is paid to sound distinctions (minimal pairs), word stress, and vowel length, since these features change the meaning of words in English.","For example, students practise the minimal pair 'ship' and 'sheep', noting that the short vowel /ɪ/ in 'ship' differs from the long vowel /iː/ in 'sheep', and that mispronouncing one changes the meaning of the word.","Clear pronunciation helps learners communicate confidently and be understood correctly in conversations, interviews and presentations.","Give one pair of words that sound almost the same but have different meanings.::Any correct minimal pair, e.g. 'ship/sheep' or 'cat/cut'.||Why is word stress important in English pronunciation?::Because placing stress on the wrong syllable can change the meaning or make a word hard to understand.||What technique can a learner use to practise difficult sounds?::Repeating tongue twisters or words after a model speaker (drilling).",
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Produce short and coherent oral messages with intelligible pronunciation and fluency,"Practise pronunciation of words with short and long vowels (e.g., sit/seat, hit/heat, pot/port)",Pronunciation practice: Practise pronunciation of words with short and long vowels,4,Choral repetition,Kuwaongoza Wanafunzi,Students are able to practise pronunciation of words with short and long vowels accurately and confidently.,Audio recordings|Word cards|Dictionary,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","This lesson focuses on helping students to practise pronunciation of words with short and long vowels, building intelligible pronunciation and fluency in spoken English.","Students listen to a model (teacher or recording) pronouncing target words or sounds correctly, then practise through repetition, tongue twisters, games or dictation. Attention is paid to sound distinctions (minimal pairs), word stress, and vowel length, since these features change the meaning of words in English.","For example, students practise the minimal pair 'ship' and 'sheep', noting that the short vowel /ɪ/ in 'ship' differs from the long vowel /iː/ in 'sheep', and that mispronouncing one changes the meaning of the word.","Clear pronunciation helps learners communicate confidently and be understood correctly in conversations, interviews and presentations.","Give one pair of words that sound almost the same but have different meanings.::Any correct minimal pair, e.g. 'ship/sheep' or 'cat/cut'.||Why is word stress important in English pronunciation?::Because placing stress on the wrong syllable can change the meaning or make a word hard to understand.||What technique can a learner use to practise difficult sounds?::Repeating tongue twisters or words after a model speaker (drilling).",
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Produce short and coherent oral messages with intelligible pronunciation and fluency,"Practise pronunciation of unfamiliar sounds (e.g., through the use of tongue twisters, songs, poems)",Pronunciation practice: Practise pronunciation of unfamiliar sounds,3,Drill,Kuwaongoza Wanafunzi,Students are able to practise pronunciation of unfamiliar sounds accurately and confidently.,Word cards|Dictionary|Mirror for articulation practice,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","This lesson focuses on helping students to practise pronunciation of unfamiliar sounds, building intelligible pronunciation and fluency in spoken English.","Students listen to a model (teacher or recording) pronouncing target words or sounds correctly, then practise through repetition, tongue twisters, games or dictation. Attention is paid to sound distinctions (minimal pairs), word stress, and vowel length, since these features change the meaning of words in English.","For example, students practise the minimal pair 'ship' and 'sheep', noting that the short vowel /ɪ/ in 'ship' differs from the long vowel /iː/ in 'sheep', and that mispronouncing one changes the meaning of the word.","Clear pronunciation helps learners communicate confidently and be understood correctly in conversations, interviews and presentations.","Give one pair of words that sound almost the same but have different meanings.::Any correct minimal pair, e.g. 'ship/sheep' or 'cat/cut'.||Why is word stress important in English pronunciation?::Because placing stress on the wrong syllable can change the meaning or make a word hard to understand.||What technique can a learner use to practise difficult sounds?::Repeating tongue twisters or words after a model speaker (drilling).",
