subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Demonstrate an understanding of the basic principles and theories of Book-keeping,"Explain the concept of Book Keeping (origin, meaning, purpose, relationship with other disciplines and basic terms)",Introduction to Book-keeping,5,Discussion,Kuwaongoza Wanafunzi,Learners accurately define book-keeping and explain its purpose and links to accounting and other disciplines.,Charts|Sample ledger books|Textbooks|Manila paper,"TET(2023), BOOK-KEEPING SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",Book-keeping is the systematic recording of the financial transactions of a business in a set of books. It originated from the need of early traders to keep track of what they owned and owed.,"Book-keeping is the process side of accounting; it focuses on recording, classifying and summarising transactions in monetary terms, while accounting also interprets and reports on that data for decision making. Book-keeping relates to other disciplines such as mathematics, economics, law and information technology. Basic terms used include transaction, account, debit, credit, asset, liability and capital.","When a trader buys goods worth TSh 50,000 cash, this is a transaction that must be recorded in the cash account and the purchases account, showing the link between the event and the books of account.","A shopkeeper who records every sale and purchase in a notebook is practising basic book-keeping, which helps them know whether the business is making a profit.",Define the term book-keeping.::Book-keeping is the systematic and chronological recording of the financial transactions of a business.||State one purpose of book-keeping.::To provide a permanent record of business transactions that can be used to determine profit or loss.||Name two disciplines related to book-keeping.::Mathematics and economics (also law and information technology).,
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Demonstrate an understanding of the basic principles and theories of Book-keeping,Explain the basis for recording business transactions (accounting assumptions and principles),Accounting Assumptions and Principles,5,Question and answer,Kuwaongoza Wanafunzi,Learners correctly identify and explain the accounting assumptions and principles that form the basis for recording transactions.,Charts of accounting principles|Textbooks|Handouts,"TET(2023), BOOK-KEEPING SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",Business transactions are recorded on the basis of certain assumptions and principles that ensure consistency and reliability of financial records.,"Key assumptions include the business entity concept (the business is separate from its owner), the going concern concept (the business will continue operating), and the money measurement concept (only transactions expressible in money are recorded). Principles include the dual aspect principle, the historical cost principle, the matching principle and the principle of consistency.","When the owner of a shop takes TSh 20,000 from the business till for personal use, the business entity concept requires that this be recorded as drawings, reducing the owner's capital, not as a business expense.",A business owner who keeps personal and shop money separate is applying the business entity concept in everyday trading.,"State the business entity concept.::It assumes that the business is a separate entity from its owner, so business and personal transactions are recorded separately.||Why is the going concern concept important?::It assumes the business will continue operating in the foreseeable future, allowing assets to be recorded at cost rather than forced-sale value.||Explain the dual aspect principle.::Every transaction has two effects on the accounting equation, one debit and one corresponding credit of equal value.",
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Demonstrate an understanding of the basic principles and theories of Book-keeping,Describe the theory of the double-entry system of Book-keeping (the accounting equation),The Accounting Equation and Double Entry,4,Demonstration,Kuwaongoza Wanafunzi,Learners state and apply the accounting equation correctly to simple transactions.,Chalkboard illustrations|Charts|Calculators,"TET(2023), BOOK-KEEPING SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","The double-entry system is based on the principle that every transaction affects at least two accounts, one receiving value (debit) and one giving value (credit), keeping the accounting equation in balance.","The accounting equation is Assets = Capital + Liabilities. Every transaction must keep both sides of this equation equal. For example, buying an asset with cash increases one asset and decreases another, so total assets remain unchanged.","A trader starts business with TSh 500,000 cash. Assets (Cash TSh 500,000) = Capital (TSh 500,000) + Liabilities (0). If the trader then borrows TSh 200,000 from a bank, Assets (Cash TSh 700,000) = Capital (TSh 500,000) + Liabilities (TSh 200,000).","A farmer who buys a bicycle for the business using a loan sees both the assets and liabilities of the business increase equally, illustrating the accounting equation.","State the accounting equation.::Assets = Capital + Liabilities.||A business has assets of TSh 900,000 and liabilities of TSh 300,000. Calculate capital.::Capital = Assets - Liabilities = 900,000 - 300,000 = TSh 600,000.||If capital is TSh 400,000 and liabilities are TSh 150,000, what are the total assets?::Assets = Capital + Liabilities = 400,000 + 150,000 = TSh 550,000.",
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Demonstrate an understanding of the basic principles and theories of Book-keeping,"Describe various types of accounts (assets, liabilities, capital, revenue and expenses)","Classifying Accounts: Assets, Liabilities, Capital, Revenue and Expenses",4,Group work,Kuwaongoza Wanafunzi,"Learners correctly classify given items into assets, liabilities, capital, revenue or expense accounts.",Flashcards of business items|Charts|Sample account items,"TET(2023), BOOK-KEEPING SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Every account used in book-keeping falls into one of five main classes: assets, liabilities, capital, revenue and expenses.","Assets are resources owned by the business, such as cash, motor vehicles and inventory. Liabilities are amounts owed to outsiders, such as loans and creditors. Capital is the owner's investment in the business. Revenue is income earned from business activities, such as sales. Expenses are costs incurred in running the business, such as rent and wages.","A shop owns a delivery van (asset), owes a supplier TSh 100,000 (liability), was started with TSh 800,000 owner's capital, earned TSh 250,000 in sales (revenue), and paid TSh 30,000 rent (expense).",A shopkeeper classifying stock as an asset and unpaid supplier bills as a liability is using the same classification applied in formal book-keeping.,Classify 'motor vehicle' and 'bank loan'.::Motor vehicle is an asset; bank loan is a liability.||Is 'rent paid' revenue or an expense?::Rent paid is an expense because it is a cost of running the business.||Give one example each of an asset and a liability account.::Asset example: cash at bank; Liability example: creditors (amounts owed to suppliers).,
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Record business transactions using source documents,Identify sources of business transactions (source documents),Identifying Source Documents,9,Demonstration,Kuwaongoza Wanafunzi,Learners correctly identify and describe common source documents used to record business transactions.,Sample invoices|Receipts|Cheque books|Credit notes|Debit notes,"TET(2023), BOOK-KEEPING SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Source documents are the original written evidence of business transactions, from which entries are first recorded in the books of account.","Common source documents include invoices (for credit sales/purchases), receipts (for cash received), cheques and pay-in-slips (for bank transactions), credit notes (for goods returned by customers) and debit notes (for goods returned to suppliers). Each document provides details such as date, parties involved, description and amount.","When a shop sells goods on credit to a customer, it issues a sales invoice showing the goods, quantity, price and total of TSh 60,000, which becomes the source document for recording the sale.",A trader who keeps every receipt from suppliers is preserving source documents that will later be used to record purchases accurately.,"What source document is used to record a credit sale?::A sales invoice.||What document is issued when goods are returned by a customer?::A credit note.||State one piece of information found on a receipt.::The amount of money received (also date, payer's name and purpose of payment).",
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Record business transactions using source documents,Record business transactions from various source documents,Recording Transactions from Source Documents,9,Guided practice,Kuwaongoza Wanafunzi,Learners accurately record transactions in the books of original entry using given source documents.,Sample invoices|Journal sheets|Cash books|Calculators,"TET(2023), BOOK-KEEPING SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Transactions recorded on source documents must be entered into the appropriate books of original entry, such as the sales journal, purchases journal or cash book.","Credit sales are recorded from invoices into the sales journal; credit purchases are recorded from purchase invoices into the purchases journal; cash transactions are recorded in the cash book from receipts and payment vouchers. Each entry must show the date, details, folio and amount, following the rule that the account receiving value is debited and the account giving value is credited.","A purchase invoice for TSh 45,000 of goods bought on credit from Juma Traders is recorded in the Purchases Journal and posted as Debit Purchases Account TSh 45,000 and Credit Juma Traders Account TSh 45,000.","A shop assistant who writes every cash sale into a sales book at the end of the day is recording transactions from source documents, just as taught in book-keeping.","In which book is a credit sale invoice first recorded?::In the Sales Journal (Sales Day Book).||A cash receipt shows TSh 25,000 received from a customer. Which account is debited?::The Cash Account is debited with TSh 25,000.||State the double entry for a credit purchase of TSh 30,000 from Amina.::Debit Purchases Account TSh 30,000; Credit Amina's Account TSh 30,000.",
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Record business transactions using source documents,Post recorded business transactions from books of original entry to ledger accounts and balance off the accounts,Posting Journal Entries to Ledger Accounts,9,Demonstration,Kuwaongoza Wanafunzi,Learners correctly post entries from books of original entry to ledger accounts and balance the accounts off.,Ledger sheets|Rulers|Sample journals|Calculators,"TET(2023), BOOK-KEEPING SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Posting is the process of transferring entries from the books of original entry into the individual ledger accounts, while balancing off shows the net position of each account at a given date.","Each debit entry in a journal is posted to the debit side of the relevant ledger account, and each credit entry is posted to the credit side of the relevant account. After all postings, an account is balanced off by totalling both sides and inserting the balance carried down (c/d) on the smaller side, then bringing it down (b/d) on the opposite side for the next period.","The Cash Account has debit entries of TSh 500,000 (capital) and TSh 60,000 (sales), and a credit entry of TSh 45,000 (purchases). Total debits TSh 560,000 less credit TSh 45,000 gives a balance carried down of TSh 515,000 on the credit side, brought down as a debit balance of TSh 515,000.",A trader who totals the cash received and paid out each week to find how much cash remains is essentially balancing off a cash account.,"What is meant by 'posting' in book-keeping?::Posting is transferring entries from books of original entry to the appropriate ledger accounts.||A ledger account has total debits of TSh 200,000 and total credits of TSh 150,000. What is the balance carried down and on which side?::Balance carried down (c/d) is TSh 50,000, recorded on the credit side; it becomes a debit balance brought down (b/d) of TSh 50,000.||Why do we balance off ledger accounts?::To find the net balance of each account at the end of a period, which is used to prepare the trial balance.",
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Prepare a trial balance,Describe the trial balance,Meaning and Purpose of the Trial Balance,3,Discussion,Kuwaongoza Wanafunzi,"Learners explain the meaning, purpose and format of a trial balance.",Sample trial balance sheet|Charts|Textbooks,"TET(2023), BOOK-KEEPING SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","A trial balance is a statement listing all ledger account balances at a particular date, showing debit balances in one column and credit balances in another.","The main purpose of a trial balance is to check the arithmetical accuracy of the double-entry postings, since total debits should equal total credits if entries were posted correctly. It also serves as the basis for preparing the financial statements. It does not, however, guarantee that no errors exist, since some errors do not affect the equality of totals.","A trial balance may show Cash TSh 350,000 (debit) and Furniture TSh 150,000 (debit) totalling TSh 500,000, matched exactly by Capital TSh 500,000 (credit), confirming the ledger is arithmetically balanced.",A trader who adds up all money coming in and going out to confirm the books 'balance' at month end is applying the same idea as a trial balance.,"What is a trial balance?::A trial balance is a list of all ledger balances, shown as debits and credits, prepared to check arithmetical accuracy.||State one purpose of preparing a trial balance.::To check that total debits equal total credits before preparing financial statements.||Does a trial balance that balances mean there are no errors at all?::No; some errors, such as errors of omission or complete reversal, do not affect the equality of the trial balance totals.",
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Prepare a trial balance,Prepare a trial balance to check the arithmetical accuracy of ledger accounts,Preparing a Trial Balance from Ledger Balances,2,Guided practice,Kuwaongoza Wanafunzi,Learners correctly extract ledger balances and prepare a trial balance that balances.,Ledger accounts|Trial balance format sheets|Calculators,"TET(2023), BOOK-KEEPING SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",Preparing a trial balance involves listing every ledger account balance under the correct debit or credit column and totalling each column.,"Asset and expense accounts normally carry debit balances, while liability, capital and revenue accounts normally carry credit balances. After listing all balances, the debit and credit columns are totalled; if the double entry was done correctly, the two totals will be equal.","Given ledger balances Cash TSh 200,000 (Dr), Purchases TSh 80,000 (Dr), Sales TSh 150,000 (Cr) and Capital TSh 130,000 (Cr), the trial balance shows total debits of TSh 280,000 and total credits of TSh 280,000.",A small shop owner who lists everything they own and earned against what they owe and what they started with is preparing a simple trial balance.,"List whether these are normally debit or credit balances: Cash, Sales, Capital, Purchases.::Cash - debit; Sales - credit; Capital - credit; Purchases - debit.||Given Cash TSh 150,000 (Dr), Rent TSh 20,000 (Dr), Capital TSh 170,000 (Cr), prepare the trial balance totals.::Total debits = 150,000 + 20,000 = TSh 170,000; Total credits = TSh 170,000; the trial balance balances.||Why must total debits equal total credits in a trial balance?::Because every transaction was recorded with equal debit and credit entries under the double-entry system.",
2023-JSS023-Kidato I,Prepare basic financial statements,Prepare basic profit or loss statements,"Describe basic financial statements (meaning, types, purpose, content and format)",Overview of Basic Financial Statements,5,Discussion,Kuwaongoza Wanafunzi,"Learners explain the meaning, types, purpose, content and format of basic financial statements.",Sample financial statements|Charts|Textbooks,"TET(2023), BOOK-KEEPING SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",Financial statements are formal reports summarising the financial performance and position of a business over a period and at a point in time.,"The two basic financial statements at this level are the income statement (showing profit or loss for a period) and the statement of financial position (showing assets, liabilities and capital at a specific date). Their purpose is to inform owners, managers and other users about profitability and financial standing. The income statement covers a period, while the statement of financial position is a snapshot at one date.","An income statement for the month of January may show Sales TSh 400,000 less Cost of Sales TSh 250,000, giving a Gross Profit of TSh 150,000.",A shop owner who checks at the end of the month whether they made a profit is essentially preparing an informal income statement.,"Name the two basic financial statements covered at this level.::The income statement and the statement of financial position.||What does an income statement show?::It shows the profit or loss made by a business over a given period.||What does a statement of financial position show?::It shows the assets, liabilities and capital of a business at a specific date.",
