subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,question_type,difficulty,prompt,options,word_bank,correct_answer,solution_steps,marks,source,language
2023-JSS002-DRS II,Kuhesabu,Kutumia matendo ya kihisabati,Kutumia vitu/TEHAMA kumudu dhana ya kugawanya kama kutoa makundi yanayolingana,calculation,easy,Tumia njia ya kutoa kwa kurudiarudia kupata jibu la: 6 ÷ 2 =,,,3,"6 - 2 = 4. 4 - 2 = 2. 2 - 2 = 0. Tumetoa kwa kurudiarudia mara 3. Kwa hiyo, 6 ÷ 2 = 3.",2,"TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS002-DRS II,Kuhesabu,Kutumia matendo ya kihisabati,Kutumia vitu/TEHAMA kumudu dhana ya kugawanya kama kutoa makundi yanayolingana,calculation,easy,Tumia njia ya kutoa kwa kurudiarudia kupata jibu la: 8 ÷ 4 =,,,2,"8 - 4 = 4. 4 - 4 = 0. Tumetoa kwa kurudiarudia mara 2. Kwa hiyo, 8 ÷ 4 = 2.",2,"TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS002-DRS II,Kuhesabu,Kutumia matendo ya kihisabati,Kutumia vitu/TEHAMA kumudu dhana ya kugawanya kama kutoa makundi yanayolingana,calculation,medium,Tumia njia ya kutoa kwa kurudiarudia kupata jibu la: 10 ÷ 2 =,,,5,"10 - 2 = 8. 8 - 2 = 6. 6 - 2 = 4. 4 - 2 = 2. 2 - 2 = 0. Tumetoa mara 5. Kwa hiyo, 10 ÷ 2 = 5.",2,"TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS002-DRS II,Kuhesabu,Kutumia matendo ya kihisabati,Kutumia vitu/TEHAMA kumudu dhana ya kugawanya kama kutoa makundi yanayolingana,calculation,medium,Tumia njia ya kutoa kwa kurudiarudia kupata jibu la: 12 ÷ 3 =,,,4,"12 - 3 = 9. 9 - 3 = 6. 6 - 3 = 3. 3 - 3 = 0. Tumetoa mara 4. Kwa hiyo, 12 ÷ 3 = 4.",2,"TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS002-DRS II,Kuhesabu,Kutumia matendo ya kihisabati,Kutumia vitu/TEHAMA kumudu dhana ya kugawanya kama kutoa makundi yanayolingana,calculation,medium,Gawanya vihesabio 16 katika mafungu yenye idadi sawa ya 4 kwa kutoa kwa kurudiarudia. Kila fungu litapata vihesabio vingapi?,,,4,"16 - 4 = 12. 12 - 4 = 8. 8 - 4 = 4. 4 - 4 = 0. Tumetoa mara 4. Kwa hiyo, kila fungu litapata vihesabio 4.",3,"TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS002-DRS II,Kuhesabu,Kutumia matendo ya kihisabati,Kutumia vitu/TEHAMA kumudu dhana ya kugawanya kama kutoa makundi yanayolingana,calculation,hard,Toa 3 kutoka kwenye 15 kwa kurudiarudia mpaka ubaki na sifuri. Umetoa mara ngapi?,,,5,15 - 3 = 12. 12 - 3 = 9. 9 - 3 = 6. 6 - 3 = 3. 3 - 3 = 0. Umetoa mara 5.,3,"TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS002-DRS II,Kuhesabu,Kutumia matendo ya kihisabati,Kutumia vitu/TEHAMA kumudu dhana ya kugawanya kama kutoa makundi yanayolingana,calculation,medium,Watoto waligawanya karanga 20 katika makundi yanayolingana ya 5 kwa kutoa kwa kurudiarudia. Yalipatikana makundi mangapi?,,,4,"20 - 5 = 15. 15 - 5 = 10. 10 - 5 = 5. 5 - 5 = 0. Tumetoa mara 4. Kwa hiyo, yalipatikana makundi 4.",3,"TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS002-DRS II,Kuhesabu,Kutumia matendo ya kihisabati,Kutumia vitu/TEHAMA kumudu dhana ya kugawanya kama kutoa makundi yanayolingana,calculation,easy,Tumia njia ya kutoa kwa kurudiarudia kupata jibu la: 9 ÷ 3 =,,,3,"9 - 3 = 6. 6 - 3 = 3. 3 - 3 = 0. Tumetoa mara 3. Kwa hiyo, 9 ÷ 3 = 3.",2,"TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS002-DRS II,Kuhesabu,Kutumia matendo ya kihisabati,Kutumia vitu/TEHAMA kumudu dhana ya kugawanya kama kutoa makundi yanayolingana,calculation,hard,Tumia njia ya kutoa kwa kurudiarudia kupata jibu la: 24 ÷ 6 =,,,4,"24 - 6 = 18. 18 - 6 = 12. 12 - 6 = 6. 6 - 6 = 0. Tumetoa mara 4. Kwa hiyo, 24 ÷ 6 = 4.",3,"TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS002-DRS II,Kuhesabu,Kutumia matendo ya kihisabati,Kutumia vitu/TEHAMA kumudu dhana ya kuzidisha kama kujumlisha makundi yanayolingana,calculation,easy,Andika 3 × 4 kama jumla ya kujirudiarudia kisha kokotoa jibu.,,,12,"3 + 3 + 3 + 3 = 12. Kwa hiyo, 3 × 4 = 12.",2,"TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
