subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,question_type,difficulty,prompt,options,word_bank,correct_answer,solution_steps,marks,source,language
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kuigiza kwa kutumia vitendo na sauti na vitendo bila sauti (mime),mcq,easy,Maigizo ni aina ya sanaa ya maonyesho ambayo mtazamaji na muigizaji hukaa wapi kwa mujibu wa kitabu?,Mahali pamoja kwa wakati mmoja|Mahali tofauti kwa nyakati tofauti|Studio ya redio pekee|Ukumbi wa sinema pekee,,Mahali pamoja kwa wakati mmoja,,1,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kuigiza kwa kutumia vitendo na sauti na vitendo bila sauti (mime),mcq,medium,Uigizaji wa papo kwa papo hutofautiana vipi na mchezo wa kuigiza ulioandikwa?,Papo kwa papo hutegemea ubunifu wa waigizaji bila kukariri maneno|Papo kwa papo huhitaji kukariri maandiko kwa muda mrefu|Papo kwa papo hufanywa na binadamu mmoja pekee|Papo kwa papo hauhusishi hadhira,,Papo kwa papo hutegemea ubunifu wa waigizaji bila kukariri maneno,,1,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kuigiza kwa kutumia vitendo na sauti na vitendo bila sauti (mime),mcq,easy,"Kati ya mambo ya kuzingatia katika uigizaji wa vitendo na sauti, ni jambo gani linalosisitiza mahusiano kati ya sauti na matendo ya muigizaji?",Kuweka uwiano kati ya sauti na vitendo|Kuvaa mavazi ya rangi angavu|Kutumia muziki wa kisasa pekee|Kuongea kwa sauti ya chini muda wote,,Kuweka uwiano kati ya sauti na vitendo,,1,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kuigiza kwa kutumia vitendo na sauti na vitendo bila sauti (mime),fill_blank,medium,Aina ya uigizaji ambayo muigizaji hutumia vitendo bila maneno kufikisha ujumbe kwa hadhira huitwa uigizaji ______.,,bubu|ngoma|mgando|wa vitendo na sauti,bubu,,1,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kuigiza kwa kutumia vitendo na sauti na vitendo bila sauti (mime),true_false,easy,"Kwa mujibu wa kitabu, uigizaji mgando ni aina ya uigizaji ambapo muigizaji hajitikisi mwili, hajongei wala hatumii sauti.",,,Kweli,,1,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kuigiza kwa kutumia vitendo na sauti na vitendo bila sauti (mime),short_answer,medium,Taja vipengele vitatu muhimu vya uigizaji bubu vilivyotajwa katika kitabu.,,,"Miondoko ya mwili, ishara za uso (hisia), na mbinu ya kuonyesha matumizi ya vitu visivyoonekana (au muziki na mivumo ya sauti)",,1,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kuigiza kwa kutumia vitendo na sauti na vitendo bila sauti (mime),matching,medium,Oanisha istilahi na maana yake sahihi kama ilivyoainishwa kwenye msamiati wa Sura ya Kwanza.,"Uigizaji mgando::Muigizaji hajitikisi mwili, hajongei wala hatumii sauti||Uigizaji ngoma::Ujumbe hufikishwa kwa njia ya miondoko ya kingoma||Tamthilia::Mchezo wa kuigiza unaochezwa na kikundi cha watu ukiakisi hali halisi ya maisha||Matini::Maandishi yaliyomo katika andiko linalohusu jambo fulani",,Uigizaji mgando - hajitikisi mwili wala hatumii sauti; Uigizaji ngoma - miondoko ya kingoma; Tamthilia - mchezo unaoakisi maisha; Matini - maandishi ya andiko,,1,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kuigiza kwa kutumia vitendo na sauti na vitendo bila sauti (mime),sequencing,hard,"Panga kwa mpangilio sahihi hatua za kuzingatia katika uigizaji bubu kama zilivyoainishwa kitabuni, kuanzia (a) hadi (d).",Mawasiliano kwa kutumia ishara za uso|Kuonyesha hisia kwa mwili|Matumizi ya viungo vya mwili|Mbinu ya matumizi ya vitu visivyoonekana kwa macho,,"Matumizi ya viungo vya mwili, Kuonyesha hisia kwa mwili, Mawasiliano kwa kutumia ishara za uso, Mbinu ya matumizi ya vitu visivyoonekana kwa macho",,2,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kuimba kwa kuzingatia mienendo ya muziki (dynamics) na uwiano wa sauti (voice balancing),mcq,easy,Neno 'Forte (f)' katika mienendo ya muziki linamaanisha nini?,Kuimba au kupiga ala kwa sauti kubwa|Kuimba kwa sauti nyororo sana|Kuongeza sauti taratibu|Kupunguza sauti taratibu,,Kuimba au kupiga ala kwa sauti kubwa,,1,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kuimba kwa kuzingatia mienendo ya muziki (dynamics) na uwiano wa sauti (voice balancing),mcq,medium,Alama '<' katika mienendo ya muziki inawakilisha nini?,Crescendo - kuongeza sauti taratibu|Decrescendo - kupunguza sauti taratibu|Piano - sauti nyororo|Fortissimo - sauti kubwa zaidi,,Crescendo - kuongeza sauti taratibu,,1,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
