subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,question_type,difficulty,prompt,options,word_bank,correct_answer,solution_steps,marks,source,language
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa stadi za awali za namba (iii),Kutumia mgawanyo wa vitu kueleza dhana ya sehemu,mcq,easy,Duara limegawanywa katika vipande viwili sawa na kipande kimoja kimetiwa kivuli. Ni sehemu gani ya duara iliyotiwa kivuli?,1/2|1/3|1/4|2/2,,1/2,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa stadi za awali za namba (iii),Kutumia mgawanyo wa vitu kueleza dhana ya sehemu,mcq,easy,Musa alikata chungwa katika vipande viwili vilivyo sawa na kumpa dada yake Neema kipande kimoja. Neema alipata sehemu gani ya chungwa?,1/2|1/3|1/4|2/3,,1/2,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa stadi za awali za namba (iii),Kutumia mgawanyo wa vitu kueleza dhana ya sehemu,short_answer,medium,Musa aligawanya mche wa sabuni katika sehemu nne zilizo sawa na kumpa dada yake kipande kimoja. Andika kwa numerali sehemu aliyopewa dada yake.,,,1/4,,2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa stadi za awali za namba (iii),Kutumia mgawanyo wa vitu kueleza dhana ya sehemu,fill_blank,medium,Mkulima ana mbuzi sita; kati yao wawili ni weupe. Mbuzi weupe ni sehemu ___ ya mbuzi wote.,,2/6|1/6|3/6|4/6,2/6,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa stadi za awali za namba (iii),Kutumia mgawanyo wa vitu kueleza dhana ya sehemu,short_answer,hard,Sadiki ana ndizi ishirini. Anataka kuwapa watoto wake wanne kwa usawa. Kila mtoto atapata sehemu gani ya ndizi zote?,,,5/20,,2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa stadi za awali za namba (iii),Kutumia mgawanyo wa vitu kueleza dhana ya sehemu,true_false,hard,"Kauli: 'Katika maembe manane, endapo mawili ni mabovu, basi maembe mabovu ni 2/8 ya maembe yote.' Je, kauli hii ni kweli au si kweli?",,,Kweli,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa stadi za awali za namba (iii),Kujumlisha na kutoa sehemu zenye asili moja,calculation,easy,Kokotoa: 1/2 + 1/2 = ?,,,2/2,"Jumlisha kiasi tu, asili ibaki bila kubadilika: 1/2 + 1/2 = 2/2 (duara zima).",2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa stadi za awali za namba (iii),Kujumlisha na kutoa sehemu zenye asili moja,calculation,easy,Kokotoa: 3/4 + 1/4 = ?,,,4/4,"Jumlisha kiasi tu, asili ibaki bila kubadilika: 3/4 + 1/4 = 4/4 (duara zima).",2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa stadi za awali za namba (iii),Kujumlisha na kutoa sehemu zenye asili moja,calculation,medium,Kokotoa: 3/10 + 5/10 = ?,,,8/10,"Jumlisha kiasi tu, asili ibaki bila kubadilika: 3/10 + 5/10 = 8/10.",2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa stadi za awali za namba (iii),Kujumlisha na kutoa sehemu zenye asili moja,short_answer,medium,Yona alijaza 3/9 ya pipa na Halima alijaza 2/9 ya pipa hilohilo. Kwa pamoja walijaza sehemu gani ya pipa?,,,5/9,,2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa stadi za awali za namba (iii),Kujumlisha na kutoa sehemu zenye asili moja,calculation,hard,Kokotoa: 11/12 - 7/12 = ?,,,4/12,"Toa kiasi tu, asili ibaki bila kubadilika: 11/12 - 7/12 = 4/12.",2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa stadi za awali za namba (iii),Kujumlisha na kutoa sehemu zenye asili moja,short_answer,hard,"Sehemu tano ya nane (5/8) ya shamba imepandwa miti ya mikaratusi, na iliyobaki imepandwa miti ya michungwa. Ni sehemu gani ya shamba imepandwa miti ya michungwa?",,,3/8 (kwa kuwa 8/8 - 5/8 = 3/8),,2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),Kueleza vipimo vya muda,mcq,easy,Dakika moja ina sekunde ngapi?,Sekunde 60|Sekunde 24|Sekunde 100|Sekunde 30,,Sekunde 60,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),Kueleza vipimo vya muda,mcq,easy,Saa moja ina dakika ngapi?,Dakika 60|Dakika 24|Dakika 12|Dakika 100,,Dakika 60,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),Kueleza vipimo vya muda,fill_blank,medium,Siku moja ina saa ___.,,24|12|60|7,24,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),Kueleza vipimo vya muda,matching,medium,Oanisha kipimo cha muda na thamani yake sahihi.,Dakika moja::Sekunde 60||Saa moja::Dakika 60||Siku moja::Saa 24||Wiki moja::Siku 7,,"Dakika moja-Sekunde 60, Saa moja-Dakika 60, Siku moja-Saa 24, Wiki moja-Siku 7",,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),Kueleza vipimo vya muda,calculation,hard,"Katika mchezo wa kusimama kwa mguu mmoja, Neema alitumia dakika 1 na sekunde 40. Ni sekunde ngapi alizotumia Neema?",,,Sekunde 100,Dakika 1 = sekunde 60. Jumla = sekunde 60 + sekunde 40 = sekunde 100.,2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),Kueleza vipimo vya muda,true_false,hard,"Kauli: 'Saa ya mshale na saa ya kidigiti zote mbili huonesha muda kwa njia moja tu, yaani kwa mishale pekee.' Kweli au si kweli?",,,Si kweli,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),Kusoma muda katika mtindo wa saa 12,mcq,easy,"Katika uso wa saa ya mshale, mshale mfupi huonesha nini?",Saa|Dakika|Sekunde|Wiki,,Saa,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),Kusoma muda katika mtindo wa saa 12,mcq,easy,Dakika 30 husomwaje?,Nusu saa|Robo saa|Saa moja|Dakika 15,,Nusu saa,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),Kusoma muda katika mtindo wa saa 12,short_answer,medium,Andika muda kwa numerali: 'Saa moja na nusu'.,,,1:30,,2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),Kusoma muda katika mtindo wa saa 12,mcq,medium,Uso wa saa ya mshale unaonesha mshale mfupi ukilenga namba 4 na mshale mrefu ukilenga namba 12. Ni saa ngapi?,Saa 4:00|Saa 12:04|Saa 4:12|Saa 8:00,,Saa 4:00,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),Kusoma muda katika mtindo wa saa 12,matching,hard,Oanisha muda ulioandikwa kwa numerali na muda ulioandikwa kwa maneno.,8:45::Saa 9 kasoro robo||12:10::Saa 12 na dakika 10||1:30::Saa moja na nusu||11:00::Saa kumi na moja kamili,,"8:45-Saa 9 kasoro robo, 12:10-Saa 12 na dakika 10, 1:30-Saa moja na nusu, 11:00-Saa kumi na moja kamili",,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),Kusoma muda katika mtindo wa saa 12,short_answer,hard,Uso wa saa unaonesha saa saba na dakika kumi na tano (7:15). Mshale mrefu (wa dakika) unalenga namba gani katika uso wa saa?,,,Namba 3,,2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),Kusoma muda katika mtindo wa saa 24,mcq,easy,Mtindo wa saa 24 huandikwa kwa tarakimu ngapi?,Nne|Mbili|Tatu|Sita,,Nne,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),Kusoma muda katika mtindo wa saa 24,true_false,easy,"Kauli: 'Katika mtindo wa saa 24, tarakimu mbili za mwanzo kushoto huonesha saa na tarakimu mbili zinazofuata huonesha dakika.' Kweli au si kweli?",,,Kweli,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),Kusoma muda katika mtindo wa saa 24,calculation,medium,Andika saa 6:30 mchana katika mtindo wa saa 24.,,,Saa 1230,Saa 6:30 mchana ni sawa na saa 1230 katika mtindo wa saa 24.,2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),Kusoma muda katika mtindo wa saa 24,calculation,medium,Andika saa 4:45 usiku katika mtindo wa saa 24.,,,Saa 2245,Saa 4:45 usiku ni sawa na saa 2245 katika mtindo wa saa 24.,2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),Kusoma muda katika mtindo wa saa 24,calculation,hard,Sheba alimwambia Bura kuwa saa yake ilionesha saa 2:15 asubuhi. Hiyo ni saa ngapi katika mtindo wa saa 24?,,,Saa 0815,Saa 2:15 asubuhi ni sawa na saa 0815 katika mtindo wa saa 24.,2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),Kusoma muda katika mtindo wa saa 24,calculation,hard,Watalii waliwasili uwanja wa ndege wa Kilimanjaro saa 1625. Andika muda huo katika mtindo wa saa 12.,,,Saa 10:25 mchana,Saa 1625 katika mtindo wa saa 24 ni sawa na saa 10:25 mchana katika mtindo wa saa 12.,2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),"Kutambua idadi ya saa katika siku, siku katika wiki, wiki katika mwezi na miezi katika mwaka",mcq,easy,Wiki moja ina siku ngapi?,Siku 7|Siku 5|Siku 10|Siku 30,,Siku 7,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),"Kutambua idadi ya saa katika siku, siku katika wiki, wiki katika mwezi na miezi katika mwaka",mcq,easy,Mwaka mmoja una miezi mingapi?,Miezi 12|Miezi 10|Miezi 24|Miezi 52,,Miezi 12,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),"Kutambua idadi ya saa katika siku, siku katika wiki, wiki katika mwezi na miezi katika mwaka",sequencing,medium,"Panga siku hizi za wiki kwa mpangilio sahihi kuanzia Jumatatu: Ijumaa, Jumatatu, Jumatano, Jumanne.",,,"Jumatatu, Jumanne, Jumatano, Ijumaa",,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),"Kutambua idadi ya saa katika siku, siku katika wiki, wiki katika mwezi na miezi katika mwaka",fill_blank,medium,"Mwezi wenye siku 30 ni ___, Juni, Septemba na Novemba.",,Aprili|Januari|Machi|Mei,Aprili,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),"Kutambua idadi ya saa katika siku, siku katika wiki, wiki katika mwezi na miezi katika mwaka",calculation,hard,"Bakari alinunua muda wa maongezi uliodumu kwa saa 48. Je, muda huu ni sawa na siku ngapi?",,,Siku 2,Siku 1 ina saa 24. Saa 48 ni sawa na saa 48 ÷ 24 = siku 2.,2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za muda (iii),"Kutambua idadi ya saa katika siku, siku katika wiki, wiki katika mwezi na miezi katika mwaka",true_false,hard,"Kauli: 'Katika mwaka mrefu, mwezi Februari huwa na siku 29.' Kweli au si kweli?",,,Kweli,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za fedha (iii),Kubaini fedha ya Tanzania katika shilingi na senti,mcq,easy,"Ni sarafu gani yenye thamani kubwa kuliko zote kati ya sarafu za Tanzania (shilingi 50, 100, 200 na 500)?",Shilingi 500|Shilingi 50|Shilingi 100|Shilingi 200,,Shilingi 500,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za fedha (iii),Kubaini fedha ya Tanzania katika shilingi na senti,mcq,easy,Noti ipi ina thamani kubwa kuliko zote kati ya noti za Tanzania?,"Shilingi 10,000|Shilingi 500|Shilingi 1,000|Shilingi 2,000",,"Shilingi 10,000",,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za fedha (iii),Kubaini fedha ya Tanzania katika shilingi na senti,sequencing,medium,"Panga sarafu hizi za Tanzania kwa mpangilio kuanzia yenye thamani ndogo kwenda kubwa: Shilingi 200, Shilingi 50, Shilingi 500, Shilingi 100.",,,"Shilingi 50, Shilingi 100, Shilingi 200, Shilingi 500",,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu matumizi ya stadi za kihisabati (iii),Kuonesha uelewa wa hesabu za fedha (iii),Kubaini fedha ya Tanzania katika shilingi na senti,fill_blank,medium,Shilingi moja ni sawa na senti ___.,,100|50|10|1000,100,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
