subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,question_type,difficulty,prompt,options,word_bank,correct_answer,solution_steps,marks,source,language
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika mwandiko wa chapa wenye kikonyo,mcq,easy,"Katika somo la kwanza la kuandika mwandiko wa chapa wenye kikonyo, mfano wa kwanza wa neno ulioandikwa kitabuni ni upi?",kitabu|redio|shule|mpira,,kitabu,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika mwandiko wa chapa wenye kikonyo,mcq,medium,"Baada ya neno 'kitabu', mfano wa pili wa neno lililotolewa kitabuni kwa mwandiko wa chapa wenye kikonyo ni upi?",nyanya|ngedere|pikiriki|nyumba,,ngedere,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika mwandiko wa chapa wenye kikonyo,short_answer,easy,"Andika mfano wa tatu (wa mwisho) wa neno lililotolewa kitabuni kama mfano wa mwandiko wa chapa wenye kikonyo, baada ya 'kitabu' na 'ngedere'.",,,nyanya,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika mwandiko wa chapa wenye kikonyo,true_false,easy,Mwandiko wa chapa wenye kikonyo na mwandiko wa kuunga ni mitindo miwili tofauti ya uandishi inayofundishwa katika kitabu cha Kuandika.,,,Kweli,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika mwandiko wa chapa wenye kikonyo,true_false,medium,"Katika mwandiko wa chapa wenye kikonyo, herufi huunganishwa moja hadi nyingine bila kuinua kalamu, kama inavyofanyika kwenye mwandiko wa kuunga.",,,Uongo,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika mwandiko wa chapa wenye kikonyo,mcq,medium,Neno 'pikiriki' lilitolewa kama mfano katika shughuli ya kuandika majina ya picha kwa mwandiko gani?,Mwandiko wa chapa wenye kikonyo|Mwandiko wa kuunga|Mwandiko wa nambari|Mwandiko wa Kiingereza,,Mwandiko wa chapa wenye kikonyo,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika mwandiko wa chapa wenye kikonyo,fill_blank,easy,Kamilisha kwa neno linalofaa: Mtoto anapenda ______ na marafiki zake shuleni.,,kucheza|kitabu|nyumbani|chakula,kucheza,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika mwandiko wa chapa wenye kikonyo,fill_blank,easy,"Kamilisha kwa neno linalofaa: Kila siku, mwanafunzi husoma ______ chake darasani.",,kitabu|shuleni|rafiki|nyumbani,kitabu,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika mwandiko wa chapa wenye kikonyo,fill_blank,medium,Kamilisha kwa neno linalofaa: Watoto huamka asubuhi na kwenda ______ kusoma.,,shuleni|nyumbani|rafiki|chakula,shuleni,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika mwandiko wa chapa wenye kikonyo,fill_blank,medium,"Kamilisha kwa neno linalofaa: Mara baada ya masomo kumalizika, mwanafunzi hurudi ______.",,nyumbani|shuleni|kitabu|rafiki,nyumbani,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika mwandiko wa chapa wenye kikonyo,fill_blank,medium,Kamilisha kwa neno linalofaa: Yule mvulana ni ______ yangu wa karibu tangu utotoni.,,rafiki|chakula|kitabu|nyumbani,rafiki,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika mwandiko wa chapa wenye kikonyo,fill_blank,hard,Kamilisha kwa neno linalofaa: Sungura ______ juu chini kwa haraka alipomwona mbwa mwitu.,,anaruka|kucheka|kukimbia|kuimba,anaruka,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika mwandiko wa chapa wenye kikonyo,fill_blank,hard,Kamilisha kwa neno linalofaa: Wanariadha hufanya mazoezi ya ______ kila siku uwanjani.,,kukimbia|anaruka|kuimba|kucheka,kukimbia,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika mwandiko wa chapa wenye kikonyo,matching,medium,"Oanisha kila kitendo na mahali au kitu kinachokamilisha sentensi yenye maana sahihi, kama ilivyo kwenye jedwali la zoezi la kuandika sentensi.",walilima::shamba la mahindi||watasikiliza::redio||wanachota::maji mtoni,,"walilima = shamba la mahindi, watasikiliza = redio, wanachota = maji mtoni",,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika matini fupi kwa mtiririko wa matukio wenye mantiki,short_answer,easy,Kuandika kwa mtiririko sahihi wa matukio kunamaanisha nini?,,,"Kuandika matukio kwa mpangilio yanavyotokea, tukio moja baada ya jingine kwa mantiki.",,2,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika matini fupi kwa mtiririko wa matukio wenye mantiki,mcq,easy,Ni sentensi ipi kati ya hizi zenye mpangilio sahihi wa maneno?,Watoto wanaenda shule.|wetu amegongwa na mbwa gari|jikoni mama vitunguu anakatakata|kitandani mgonjwa amelala,,Watoto wanaenda shule.,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika matini fupi kwa mtiririko wa matukio wenye mantiki,mcq,easy,Chagua sentensi yenye mpangilio sahihi wa maneno kutoka miongoni mwa hizi.,maua wanafunzi walipanda|anaishi Hamisi na soko karibu|Amani hupenda kuimba nyimbo.|wetu amegongwa na mbwa gari,,Amani hupenda kuimba nyimbo.,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika matini fupi kwa mtiririko wa matukio wenye mantiki,mcq,medium,Ni sentensi ipi yenye mpangilio sahihi wa maneno kutoka orodha hii ya pili ya mazoezi?,kusoma anafundisha mwalimu|Juma ni fundi ujenzi.|pikipiki Kulwa anaendesha|analima bustani ya mama mboga,,Juma ni fundi ujenzi.,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika matini fupi kwa mtiririko wa matukio wenye mantiki,mcq,medium,Chagua sentensi yenye mpangilio sahihi wa maneno.,kwa kompyuta kutumia anafundisha mwalimu|wageni aliwakaribisha mama|mazingira ya kupendeza yetu shule ina|Nzi husababisha magonjwa ya kuhara.,,Nzi husababisha magonjwa ya kuhara.,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika matini fupi kwa mtiririko wa matukio wenye mantiki,true_false,easy,Sentensi 'Mbuga ya Mikumi ina wanyama wengi.' ina mpangilio sahihi wa maneno.,,,Kweli,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika matini fupi kwa mtiririko wa matukio wenye mantiki,true_false,medium,Sentensi 'jikoni mama vitunguu anakatakata' ina mpangilio sahihi wa maneno.,,,Uongo,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika matini fupi kwa mtiririko wa matukio wenye mantiki,true_false,medium,Sentensi 'Asha na Kizigina wanapenda kuogelea.' ina mpangilio sahihi wa maneno.,,,Kweli,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika matini fupi kwa mtiririko wa matukio wenye mantiki,true_false,hard,Maneno 'matunda Aida anapenda' yamepangwa kwa mpangilio usio sahihi wa sentensi.,,,Kweli,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika matini fupi kwa mtiririko wa matukio wenye mantiki,true_false,hard,Maneno 'mpira wanacheza watoto uwanjani' yana mpangilio sahihi wa sentensi kama yalivyoandikwa.,,,Uongo,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika matini fupi kwa mtiririko wa matukio wenye mantiki,matching,medium,Oanisha kila mwanzo wa sentensi (Orodha A) na mwisho unaokamilisha maana yake (Orodha B) - sehemu ya kwanza.,Mtoto amelala::kitandani||Baba alimpeleka dada::hospitalini||Wakulima wanalima::mahindi na mpunga,,"Mtoto amelala = kitandani, Baba alimpeleka dada = hospitalini, Wakulima wanalima = mahindi na mpunga",,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika matini fupi kwa mtiririko wa matukio wenye mantiki,matching,medium,Oanisha kila mwanzo wa sentensi (Orodha A) na mwisho unaokamilisha maana yake (Orodha B) - sehemu ya pili.,Kaka alinifundisha::kuendesha baiskeli||Ng'ombe wetu::anatoa maziwa mengi||Bendera ya Taifa la Tanzania::ina rangi nne,,"Kaka alinifundisha = kuendesha baiskeli, Ng'ombe wetu = anatoa maziwa mengi, Bendera ya Taifa la Tanzania = ina rangi nne",,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika matini fupi kwa mtiririko wa matukio wenye mantiki,matching,hard,Oanisha kila mwanzo wa sentensi (Orodha A) na mwisho unaokamilisha maana yake (Orodha B) - sehemu ya tatu.,Kuku wa mjomba anataga::mayai mengi||Mwanafunzi alijibu::maswali yote||Salome anachota maji::bombani,,"Kuku wa mjomba anataga = mayai mengi, Mwanafunzi alijibu = maswali yote, Salome anachota maji = bombani",,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika matini fupi kwa mtiririko wa matukio wenye mantiki,fill_blank,easy,Kamilisha sentensi ili iwe na maana sahihi: Wakulima wanalima ______.,,mahindi na mpunga|maziwa mengi|bombani|ubaoni,mahindi na mpunga,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika matini fupi kwa mtiririko wa matukio wenye mantiki,fill_blank,medium,Kamilisha: Kila tukio katika habari linapaswa kuandikwa kwa ______ sahihi ili msomaji aelewe vizuri jinsi matukio yalivyofuatana.,,mtiririko|sauti|rangi|umbo,mtiririko,,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika matini fupi kwa mtiririko wa matukio wenye mantiki,sequencing,medium,Panga sentensi hizi kuhusu tukio la moto ili ziwe na mtiririko sahihi wa matukio: (A) Watu wengine walitoa vyombo ndani ya nyumba. (B) Moto uliwaka ndani ya nyumba. (C) Watu walitoa majeruhi nje na kuwapeleka hospitalini. (D) Watu walipiga mayowe kuomba msaada.,,,"B, D, A, C",,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika matini fupi kwa mtiririko wa matukio wenye mantiki,sequencing,medium,"Panga sentensi hizi kuhusu Ngwalika na bibi ili ziwe na mtiririko sahihi wa matukio: (A) Ngwalika aliubeba mzigo na kumpelekea bibi nyumbani kwake. (B) Bibi alimshukuru sana Ngwalika kwa msaada wake. (C) Ngwalika alimsalimia bibi, kisha aliomba amsaidie kubeba mzigo. (D) Baada ya hapo, Ngwalika alienda nyumbani kwao. (E) Siku moja, Ngwalika alimwona bibi amebeba mzigo. (F) Bibi alijibu salamu na kukubali Ngwalika amsaidie kubeba mzigo.",,,"E, C, F, A, B, D",,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi,Kuandika matini fupi kwa mtiririko wa matukio wenye mantiki,sequencing,hard,"Panga sentensi hizi kuhusu ugonjwa wa Amanda ili ziwe na mtiririko sahihi wa matukio: (A) Mama yake aligundua kwamba alikuwa na homa kali. (B) Aligundulika kuwa na vijidudu vya malaria. (C) Walipofika hospitalini, Amanda alifanyiwa vipimo. (D) Asubuhi moja, Amanda aliamka akiwa mgonjwa. (E) Baada ya siku tatu, Amanda alianza kupata nafuu. (F) Waliporudi nyumbani, Amanda alikula chakula na kumeza dawa. (G) Alimpeleka hospitalini haraka. (H) Daktari alimpatia dawa za kumeza.",,,"D, A, G, C, B, H, F, E",,1,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
