subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,question_type,difficulty,prompt,options,word_bank,correct_answer,solution_steps,marks,source,language
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read two-syllable and grade-appropriate words,mcq,easy,Which of these words has two syllables?,pencil|hippopotamus|understanding|vocabulary,,pencil,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read two-syllable and grade-appropriate words,mcq,easy,How many syllables does the word 'rabbit' have?,1|2|3|4,,2,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read two-syllable and grade-appropriate words,fill_blank,medium,Break the word 'window' into its syllables: win - ___,,dow|do|dew|doe,dow,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read two-syllable and grade-appropriate words,mcq,medium,Which word is correctly broken into two syllables?,pe-ncil|penci-l|pen-cil|p-encil,,pen-cil,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read two-syllable and grade-appropriate words,short_answer,medium,Write the two-syllable word from the book that names an orange root vegetable used in cooking.,,,carrot,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read two-syllable and grade-appropriate words,true_false,easy,The word 'baby' has two syllables.,,,True,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read two-syllable and grade-appropriate words,true_false,medium,The word 'always' has three syllables.,,,False,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read two-syllable and grade-appropriate words,mcq,hard,Which pair correctly separates a two-syllable word into its syllables?,todday|t-oday|toda-y|to-day,,to-day,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read two-syllable and grade-appropriate words,fill_blank,easy,The word 'spider' has two syllables: spi - ___,,der|dar|dor|dur,der,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read two-syllable and grade-appropriate words,mcq,medium,Which of these words from the book is a two-syllable word?,cabbage|hippopotamus|butterfly|television,,cabbage,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read aloud a variety of grade-level texts,mcq,easy,"In the story 'A bad man paid the price', why was Tupendane taken to hospital?",She was hungry|She was sick|She was lost|She was tired,,She was sick,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read aloud a variety of grade-level texts,short_answer,medium,"In the story 'A bad man paid the price', who pretended to shake hands with the doctor?",,,Toyo,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read aloud a variety of grade-level texts,mcq,medium,Why were Toyo and the doctor arrested in the story 'A bad man paid the price'?,Because of theft|Because of fighting|Because of corruption|Because of lying about their names,,Because of corruption,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read aloud a variety of grade-level texts,true_false,easy,"In the story 'A bad man paid the price', Tupendane's mother called the police.",,,True,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read aloud a variety of grade-level texts,fill_blank,medium,"Complete Tupendane's mother's saying from the story: ""Corruption is the enemy of ___.""",,justice|money|patients|doctors,justice,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read aloud a variety of grade-level texts,mcq,hard,"As used in the story 'A bad man paid the price', what does the word 'enemy' mean?",A friend|A doctor|A patient|Someone who opposes you,,Someone who opposes you,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read multi-syllable and grade-appropriate words,mcq,easy,Which word has the most syllables?,hippopotamus|cat|dog|sun,,hippopotamus,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read multi-syllable and grade-appropriate words,mcq,medium,How many syllables does the word 'crocodile' have?,2|3|4|5,,3,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read multi-syllable and grade-appropriate words,fill_blank,medium,Break the word 'telephone' into its syllables: tel - e - ___,,phone|fone|phon|foam,phone,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read multi-syllable and grade-appropriate words,true_false,easy,The word 'family' has three syllables.,,,True,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read multi-syllable and grade-appropriate words,true_false,medium,The word 'library' has two syllables.,,,False,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read multi-syllable and grade-appropriate words,mcq,hard,Which of these words has four syllables?,hospital|bicycle|environment|exercise,,environment,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately,Read multi-syllable and grade-appropriate words,short_answer,medium,Write the multi-syllable word from the book that means a place where you go when you are sick.,,,hospital,,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD THREE, TET, DAR ES SALAAM",en
