subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,question_type,difficulty,prompt,options,word_bank,correct_answer,solution_steps,marks,source,language
2023-JSS019-DRS V,Kumudu Historia ya Tanzania na Maadili wakati wa ukoloni 1890-1960,Kuelezea historia ya Tanzania na urithi wakati wa ukoloni,Kueleza dhana ya ukoloni,mcq,easy,Ukoloni ni hali gani ya nchi moja kuhusiana na nyingine?,"Kuitawala nchi nyingine kisiasa, kiuchumi na kiutamaduni|Kufanya biashara ya haki na nchi nyingine|Kushirikiana kwa usawa na nchi nyingine|Kutoa misaada ya bure kwa nchi nyingine",,"Kuitawala nchi nyingine kisiasa, kiuchumi na kiutamaduni",,1,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS019-DRS V,Kumudu Historia ya Tanzania na Maadili wakati wa ukoloni 1890-1960,Kuelezea historia ya Tanzania na urithi wakati wa ukoloni,Kueleza dhana ya ukoloni,mcq,medium,Ukoloni mkongwe unahusisha nini hasa?,Nchi moja kuwatawala moja kwa moja watu au nchi nyingine kwa mabavu|Kutumia madaraka ya viongozi wazawa kutawala kwa siri|Kufanya biashara ya kimataifa bila kutawala|Kutoa mafunzo ya kijeshi kwa nchi nyingine,,Nchi moja kuwatawala moja kwa moja watu au nchi nyingine kwa mabavu,,1,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS019-DRS V,Kumudu Historia ya Tanzania na Maadili wakati wa ukoloni 1890-1960,Kuelezea historia ya Tanzania na urithi wakati wa ukoloni,Kueleza dhana ya ukoloni,mcq,medium,Chimbuko la ukoloni lilitokana zaidi na nini barani Ulaya?,Kukua kwa ubepari kutokana na mapinduzi ya viwanda|Kupungua kwa idadi ya watu Ulaya|Kuenea kwa magonjwa ya mlipuko Ulaya|Kupungua kwa biashara za kimataifa Ulaya,,Kukua kwa ubepari kutokana na mapinduzi ya viwanda,,1,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS019-DRS V,Kumudu Historia ya Tanzania na Maadili wakati wa ukoloni 1890-1960,Kuelezea historia ya Tanzania na urithi wakati wa ukoloni,Kueleza dhana ya ukoloni,true_false,medium,Madai kwamba ukoloni ulikuwa na nia ya kuwatoa Waafrika katika ujinga ni ukweli usio na shaka.,,,Uongo,,1,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS019-DRS V,Kumudu Historia ya Tanzania na Maadili wakati wa ukoloni 1890-1960,Kuelezea historia ya Tanzania na urithi wakati wa ukoloni,Kueleza dhana ya ukoloni,fill_blank,easy,Lengo kuu la ukoloni lilikuwa kutengeneza ___ kwa kuwakandamiza watu wanyonge.,,faida|amani|elimu|afya,faida,,1,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS019-DRS V,Kumudu Historia ya Tanzania na Maadili wakati wa ukoloni 1890-1960,Kuelezea historia ya Tanzania na urithi wakati wa ukoloni,Kueleza dhana ya ukoloni,short_answer,medium,Eleza kwa ufupi maana ya ukoloni.,,,"Mfano: hali ya nchi moja kuitawala nchi nyingine kisiasa, kiuchumi na kiutamaduni kwa lengo la kujinufaisha",,2,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS019-DRS V,Kumudu Historia ya Tanzania na Maadili wakati wa ukoloni 1890-1960,Kuelezea historia ya Tanzania na urithi wakati wa ukoloni,Kueleza dhana ya ukoloni,short_answer,hard,Taja sababu mbili zilizosababisha mataifa ya Ulaya kuja kukoloni Afrika Mashariki mwishoni mwa Karne ya 19.,,,"Mfano: hitaji la malighafi na masoko ya bidhaa za viwandani, na hitaji la maeneo ya kuwekeza mitaji na vibarua wasio na gharama",,2,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS019-DRS V,Kumudu Historia ya Tanzania na Maadili wakati wa ukoloni 1890-1960,Kuelezea historia ya Tanzania na urithi wakati wa ukoloni,Kueleza dhana ya ukoloni,matching,medium,Oanisha dhana na maelezo yake sahihi kuhusu ukoloni.,Ukoloni mkongwe::Utawala wa moja kwa moja kwa mabavu||Ukoloni mamboleo::Kutumia viongozi wazawa kutawala||Wapelelezi::Watangulizi waliokusanya taarifa za utajiri wa Afrika||Mapinduzi ya viwanda::Chanzo cha kukua kwa ubepari Ulaya,,,,1,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS019-DRS V,Kumudu Historia ya Tanzania na Maadili wakati wa ukoloni 1890-1960,Kuelezea historia ya Tanzania na urithi wakati wa ukoloni,"Kufafanua mifumo ya kiutawala na kijamii wakati wa ukoloni (mfano mahakama, ulinzi, uongozi, afya na elimu)",mcq,easy,Mkataba wa Heligoland uliofanyika mwaka 1890 ulimpa Ujerumani eneo lipi?,Afrika Mashariki ya Wajerumani|Uganda|Kenya|Visiwa vya Zanzibar,,Afrika Mashariki ya Wajerumani,,1,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
2023-JSS019-DRS V,Kumudu Historia ya Tanzania na Maadili wakati wa ukoloni 1890-1960,Kuelezea historia ya Tanzania na urithi wakati wa ukoloni,"Kufafanua mifumo ya kiutawala na kijamii wakati wa ukoloni (mfano mahakama, ulinzi, uongozi, afya na elimu)",mcq,medium,Waingereza walianzisha mfumo gani wa utawala Tanganyika ulioutumia machifu wa asili kutawala?,Utawala wa mlango wa nyuma|Utawala wa moja kwa moja|Utawala wa kijeshi|Utawala wa kibaraza,,Utawala wa mlango wa nyuma,,1,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",sw
