subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,question_type,difficulty,prompt,options,word_bank,correct_answer,solution_steps,marks,source,language
2023-JSS017-DRS III,Kumudu misingi ya kutunza mazingira,Kuonesha uelewa wa awali wa elimu ya kutunza mazingira,"Kueleza njia za kutunza mazingira (kupanda maua na miti/ukoka, njia anuai za kukabiliana na taka katika mazingira)",mcq,easy,Utunzaji wa mazingira ni nini?,Hali ya kulinda na kuhifadhi vitu vinavyomzunguka binadamu|Kununua vitu vipya kila siku|Kuchimba mashimo shambani|Kufuga wanyama pekee,,Hali ya kulinda na kuhifadhi vitu vinavyomzunguka binadamu,,1,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS017-DRS III,Kumudu misingi ya kutunza mazingira,Kuonesha uelewa wa awali wa elimu ya kutunza mazingira,"Kueleza njia za kutunza mazingira (kupanda maua na miti/ukoka, njia anuai za kukabiliana na taka katika mazingira)",mcq,easy,Ni ipi kati ya njia zifuatazo hutumika kutunza mazingira ya shule?,"Kuchoma taka ovyo shuleni|Kupanda miti, nyasi na maua|Kuacha madirisha bila kufuta vumbi|Kutupa taka mtoni",,"Kupanda miti, nyasi na maua",,1,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS017-DRS III,Kumudu misingi ya kutunza mazingira,Kuonesha uelewa wa awali wa elimu ya kutunza mazingira,"Kueleza njia za kutunza mazingira (kupanda maua na miti/ukoka, njia anuai za kukabiliana na taka katika mazingira)",fill_blank,easy,Taka zinazoweza kuoza ni kama vile mabaki ya chakula na mabaki ya ___.,,mimea|plastiki|chuma|glasi,mimea,,1,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS017-DRS III,Kumudu misingi ya kutunza mazingira,Kuonesha uelewa wa awali wa elimu ya kutunza mazingira,"Kueleza njia za kutunza mazingira (kupanda maua na miti/ukoka, njia anuai za kukabiliana na taka katika mazingira)",fill_blank,easy,Taka za plastiki ni mfano wa taka zisizo___.,,oza|safi|nzito|hatari,oza,,1,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS017-DRS III,Kumudu misingi ya kutunza mazingira,Kuonesha uelewa wa awali wa elimu ya kutunza mazingira,"Kueleza njia za kutunza mazingira (kupanda maua na miti/ukoka, njia anuai za kukabiliana na taka katika mazingira)",true_false,easy,Taka za plastiki huchukua muda mrefu sana kuoza ukilinganisha na mabaki ya chakula.,,,Kweli,,1,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS017-DRS III,Kumudu misingi ya kutunza mazingira,Kuonesha uelewa wa awali wa elimu ya kutunza mazingira,"Kueleza njia za kutunza mazingira (kupanda maua na miti/ukoka, njia anuai za kukabiliana na taka katika mazingira)",true_false,medium,Ni sahihi kuchanganya taka zinazooza na taka zisizooza katika chombo kimoja wakati wa kufanya usafi wa darasa.,,,Uongo,,1,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS017-DRS III,Kumudu misingi ya kutunza mazingira,Kuonesha uelewa wa awali wa elimu ya kutunza mazingira,"Kueleza njia za kutunza mazingira (kupanda maua na miti/ukoka, njia anuai za kukabiliana na taka katika mazingira)",short_answer,easy,Taja hatua mbili za kufanya usafi wa darasa.,,,"Mfano: kuondoa tandabui na kufagia sakafu (au hatua nyingine yoyote miongoni mwa: kufuta ubao, kufuta vumbi, kudeki sakafu, kupanga madawati, kukusanya taka)",,2,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS017-DRS III,Kumudu misingi ya kutunza mazingira,Kuonesha uelewa wa awali wa elimu ya kutunza mazingira,"Kueleza njia za kutunza mazingira (kupanda maua na miti/ukoka, njia anuai za kukabiliana na taka katika mazingira)",short_answer,easy,Kwa nini tunashauriwa kufuta vumbi kwenye madawati na madirisha kabla ya kudeki sakafu?,,,Ili vumbi lisianguke tena sakafuni iliyokwisha kudekwa na kuchafua sakafu upya,,2,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS017-DRS III,Kumudu misingi ya kutunza mazingira,Kuonesha uelewa wa awali wa elimu ya kutunza mazingira,"Kueleza njia za kutunza mazingira (kupanda maua na miti/ukoka, njia anuai za kukabiliana na taka katika mazingira)",mcq,medium,"Kabla ya kupanda miche ya miti au maua, ni hatua gani muhimu inayotakiwa kufanyika kwenye eneo husika?",Kuchagua eneo lenye rutuba na kulisafisha kwa kulima na kutifua|Kumwaga mafuta ardhini|Kujenga uzio wa mawe|Kuchimba kisima kirefu,,Kuchagua eneo lenye rutuba na kulisafisha kwa kulima na kutifua,,1,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS017-DRS III,Kumudu misingi ya kutunza mazingira,Kuonesha uelewa wa awali wa elimu ya kutunza mazingira,"Kueleza njia za kutunza mazingira (kupanda maua na miti/ukoka, njia anuai za kukabiliana na taka katika mazingira)",short_answer,medium,"Toa faida mbili za kupanda miti, nyasi na maua katika mazingira ya shule.",,,"Mfano: hupendezesha mazingira na hutoa kivuli (au: hurekebisha hali ya hewa, baadhi ya maua hutoa harufu nzuri)",,2,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS017-DRS III,Kumudu misingi ya kutunza mazingira,Kuonesha uelewa wa awali wa elimu ya kutunza mazingira,"Kueleza njia za kutunza mazingira (kupanda maua na miti/ukoka, njia anuai za kukabiliana na taka katika mazingira)",mcq,medium,Ni njia gani sahihi ya kutunza vyanzo vya maji?,Kupanda miti karibu na vyanzo vya maji|Kutupa taka kwenye vyanzo vya maji|Kufua nguo mtoni kila siku|Kunywesha mifugo ndani ya kisima,,Kupanda miti karibu na vyanzo vya maji,,1,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS017-DRS III,Kumudu misingi ya kutunza mazingira,Kuonesha uelewa wa awali wa elimu ya kutunza mazingira,"Kueleza njia za kutunza mazingira (kupanda maua na miti/ukoka, njia anuai za kukabiliana na taka katika mazingira)",fill_blank,medium,Kupanda miti pembezoni mwa mto husaidia kuzuia ___ wa udongo.,,mmomonyoko|ukuaji|uzalishaji|umwagiliaji,mmomonyoko,,1,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
