subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS024-Kidato I,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education","Describe the concept and scope of business studies, and its relationship with other disciplines",Meaning and Scope of Business Studies,24,Discussion,Kuwaongoza Wanafunzi,Learners correctly define business studies and list at least three other disciplines it relates to.,Charts showing branches of knowledge|Flashcards with key terms|Textbook illustrations|Realia (sample business items),"TET(2023), BUSINESS STUDIES SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Business studies is the study of how individuals and organisations create, produce, exchange and consume goods and services in order to satisfy human wants. It covers activities such as production, marketing, finance and management that take place in businesses of all sizes.","The scope of business studies includes commerce (buying, selling and aids to trade), industry (extraction, manufacturing and construction) and direct services (banking, insurance, transport and communication). Business studies also draws on knowledge from other disciplines such as economics, mathematics, geography and law, since business activities are influenced by economic conditions, calculations, location and legal rules. Understanding these links helps learners see business as part of a wider social and economic system rather than an isolated activity.","For example, a shopkeeper in Dodoma uses economics to decide what goods are in demand, mathematics to calculate prices and profit, geography to choose a good location, and law to obtain a trading licence, showing how business studies connects with other subjects.","Every time learners buy stationery from a school shop or sell farm produce at a local market, they are taking part in the kind of activities that business studies examines.","Define business studies.::Business studies is the study of how people and organisations produce, exchange and consume goods and services to satisfy human wants.||Name two branches of the scope of business studies.::Commerce and industry (or direct services).||Give one discipline that business studies relates to and explain how.::Economics, because it helps explain how prices and demand for goods are determined.",
2023-JSS024-Kidato I,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education","Describe the concept and theories of entrepreneurship (meaning, characteristics, skills and importance)",Concept and Characteristics of Entrepreneurship,23,Case study,Kuwaongoza Wanafunzi,Learners identify at least four characteristics of a successful entrepreneur and explain the importance of entrepreneurship.,Case study of a local entrepreneur|Pictures of entrepreneurs|Chart of entrepreneurial characteristics|Video clip (if available),"TET(2023), BUSINESS STUDIES SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Entrepreneurship is the process of identifying a business opportunity, organising resources and taking the risk of starting and running a business in order to make a profit. A person who does this is called an entrepreneur.","Successful entrepreneurs share certain characteristics, including creativity, risk-taking, self-confidence, hard work, innovativeness and the ability to plan. Important entrepreneurial skills include decision-making, communication, negotiation and financial management. Entrepreneurship is important because it creates employment, generates income, promotes innovation and contributes to national economic growth.","For instance, a young person who notices that there is no place to charge mobile phones in her village and starts a small phone-charging kiosk using a solar panel is demonstrating entrepreneurship by identifying an opportunity and taking a risk to meet a need.",Learners who sell snacks during break time or make and sell handicrafts are already practising basic entrepreneurial skills.,"Who is an entrepreneur?::A person who identifies a business opportunity and organises resources to start and run a business, accepting the risk involved.||Mention three characteristics of a good entrepreneur.::Creativity, risk-taking and hard work (any three valid characteristics).||State one importance of entrepreneurship to the community.::It creates employment opportunities for community members.",
2023-JSS024-Kidato I,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education","Describe sole proprietorship (meaning, features, advantages and disadvantages and start-up)",Sole Proprietorship: Meaning and Start-up,23,Question and answer,Kuwaongoza Wanafunzi,"Learners state the meaning of sole proprietorship and outline the steps for starting one, together with its advantages and disadvantages.",Sample business registration form|Chart of advantages and disadvantages|Case study of a local sole trader,"TET(2023), BUSINESS STUDIES SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","A sole proprietorship is a business owned, financed and controlled by one person who takes all the profits and bears all the risks and losses alone.","Features of a sole proprietorship include single ownership, unlimited liability, ease of formation and dissolution, and direct control by the owner. Advantages include quick decision-making, privacy of business affairs and keeping all the profit, while disadvantages include unlimited liability, limited capital and the business often ending when the owner dies or retires. Starting a sole proprietorship generally involves choosing a business idea, arranging capital, finding a suitable location and registering the business with the relevant local authority.","For example, a tailor who opens a small shop using her own savings, makes all the decisions herself and keeps all the profits after paying expenses is running a sole proprietorship.","Many small shops, kiosks, salons and food vendors that learners see in their neighbourhood are examples of sole proprietorships.","Define sole proprietorship.::A business owned, financed and controlled by one person who enjoys all profits and bears all risks alone.||Mention one advantage of sole proprietorship.::Quick decision-making since the owner does not need to consult anyone else.||Mention one disadvantage of sole proprietorship.::Unlimited liability, meaning the owner's personal property can be used to pay business debts.",
2023-JSS024-Kidato II,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education","Explain the concept of production (meaning, types, factors and importance)","Meaning, Types and Factors of Production",12,Discussion,Kuwaongoza Wanafunzi,Learners explain the meaning of production and correctly classify the four factors of production.,Chart of factors of production|Pictures of production activities|Samples of raw materials and finished goods,"TET(2023), BUSINESS STUDIES SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Production is the process of creating goods and services that satisfy human wants, whether by extracting raw materials, transforming them into finished products, or providing a service.","There are three main types of production: primary (extraction of raw materials such as farming, fishing and mining), secondary (manufacturing raw materials into finished or semi-finished goods) and tertiary (provision of services such as transport, banking and education). Production depends on four factors: land (natural resources), labour (human effort), capital (money and man-made resources) and entrepreneurship (the organiser who combines the other factors and bears the risk). Production is important because it creates goods and services, generates employment and income, and contributes to a country's economic growth.","For example, a furniture maker uses land (wood from trees), labour (carpenters), capital (tools and machines) and entrepreneurship (the owner who organises the workshop) to produce chairs and tables, illustrating secondary production.","The maize flour, exercise books and clothes that learners use every day all result from production processes involving these four factors.","Define production.::The process of creating goods and services that satisfy human wants.||Name the three types of production.::Primary, secondary and tertiary production.||List the four factors of production.::Land, labour, capital and entrepreneurship.",
2023-JSS024-Kidato II,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education","Describe sources of capital for small businesses (loans, savings, deferred payments, funds from family and friends)",Sources of Capital for Small Businesses,11,Group work,Kuwaongoza Wanafunzi,Learners identify and describe at least four sources of capital available to small businesses.,Chart listing sources of capital|Sample loan application form|Case study of a small business owner,"TET(2023), BUSINESS STUDIES SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",Capital is the money or resources needed to start and run a business. Small businesses can obtain capital from several sources depending on what is available and affordable to the owner.,"Common sources of capital for small businesses include personal savings, loans from banks or microfinance institutions, deferred payments (buying goods now and paying later), and contributions from family and friends. Each source has its own conditions; for example, bank loans usually require collateral and charge interest, while support from family may be interest-free but limited in amount. Choosing an appropriate source of capital depends on the amount needed, the cost of borrowing and the ability of the business to repay.","For example, a young poultry farmer may start with personal savings, borrow additional funds from a savings and credit cooperative (SACCOS), and buy chicken feed on deferred payment terms from a supplier who trusts him to pay after selling the eggs.",Learners who save pocket money in a piggy bank before buying something they want are practising the same principle that businesses use when raising capital from savings.,Define capital in business.::The money or resources needed to start and operate a business.||Name two sources of capital for a small business.::Personal savings and loans from a bank or microfinance institution (any two valid sources).||What is deferred payment?::An arrangement where a business obtains goods or services now and pays for them at a later agreed date.,
2023-JSS024-Kidato II,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education",Describe the role of microfinancing and cooperatives in facilitating business formation and operations,Role of Microfinancing and Cooperatives,11,Field trip,Kuwaongoza Wanafunzi,Learners explain the role of microfinance institutions and cooperatives in supporting business formation and operations.,Visit to a local SACCOS or microfinance institution|Brochures from microfinance institutions|Chart on cooperative principles,"TET(2023), BUSINESS STUDIES SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Microfinancing refers to the provision of small loans, savings and other financial services to people, especially low-income earners, who cannot easily access services from large commercial banks. Cooperatives are organisations formed by members who pool resources to achieve common economic goals.","Microfinance institutions help small business owners by providing small, accessible loans, training in financial management and encouraging a saving culture. Cooperatives, such as Savings and Credit Cooperative Societies (SACCOS), allow members to save together and borrow at reasonable interest rates, and they also provide a platform for members to buy inputs or sell produce collectively at better prices. Both microfinancing and cooperatives play an important role in helping small businesses to start, expand and operate more efficiently, especially in rural areas where formal banking services are limited.","For example, members of a farmers' SACCOS in a rural village save money together every month, and when one member needs capital to buy fertiliser, they can borrow from the pooled savings at a lower interest rate than a commercial bank would charge.","Many parents and guardians in learners' communities belong to savings groups or cooperatives that help them finance farming, small trade or school fees for their children.",What is microfinancing?::The provision of small loans and other financial services to low-income people who lack easy access to commercial banks.||Give one example of a cooperative that supports small businesses.::A Savings and Credit Cooperative Society (SACCOS).||State one benefit of cooperatives to small business owners.::They enable members to access loans at affordable interest rates through pooled savings.,
2023-JSS024-Kidato II,Solve social challenges using business skills,Demonstrate mastery of the basic skills of operating a small-scale business,"Describe the basic aspects of management for small businesses (meaning, financial and other records keeping, calculation of profit and loss, budgeting and control and administration)",Basic Management of Small Businesses,13,Discussion,Kuwaongoza Wanafunzi,"Learners describe the basic aspects of managing a small business, including record keeping and calculating profit or loss.",Sample record books|Chart of a simple profit and loss statement|Calculator,"TET(2023), BUSINESS STUDIES SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Management in a small business involves planning, organising, directing and controlling the resources and activities of the business so that it achieves its goals efficiently.","Good management of a small business requires keeping accurate financial and other records, such as sales records, purchase records and stock records, so that the owner knows how the business is performing. Profit or loss is calculated by subtracting total costs from total sales revenue; if sales exceed costs the business makes a profit, and if costs exceed sales it makes a loss. Budgeting involves planning income and expenditure in advance, while control and administration ensure that resources are used properly and business rules are followed.","For example, a shop owner who records that she spent TSh 200,000 buying goods and sold them for TSh 260,000 can calculate a profit of TSh 60,000, which helps her decide how much to reinvest and how much to save.",Learners who keep a simple record of money received and spent from selling snacks at school are already applying basic business management skills.,"What is management in the context of a small business?::Planning, organising, directing and controlling the resources and activities of a business to achieve its goals.||How is profit calculated?::Profit is calculated by subtracting total costs from total sales revenue.||Why is record keeping important in a small business?::It helps the owner track performance, calculate profit or loss and make informed business decisions.",
2023-JSS024-Kidato II,Solve social challenges using business skills,Demonstrate mastery of the basic skills of operating a small-scale business,Describe the basic aspects of warehousing and inventorying for small businesses (meaning and functions),Warehousing and Inventory Management,13,Discussion,Kuwaongoza Wanafunzi,Learners explain the meaning and functions of warehousing and inventorying for a small business.,Pictures of a warehouse or storeroom|Sample stock card|Chart on inventory functions,"TET(2023), BUSINESS STUDIES SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Warehousing is the storage of goods in a suitable place before they are sold or used, while inventorying (or stock control) is the process of recording and managing the quantity of goods a business holds at any given time.","The functions of warehousing include protecting goods from damage, theft and spoilage, holding stock until it is needed, and enabling the business to buy in bulk at lower prices. Inventorying helps a business know how much stock it has, when to reorder, and helps to prevent losses through spoilage or theft. Together, warehousing and inventorying ensure that goods are available when customers need them while minimising storage costs and wastage.","For example, a maize trader stores bags of maize in a dry, secure store (warehousing) and keeps a stock card showing how many bags come in and go out each week (inventorying), so she always knows when to buy more before running out.",A household that keeps food items in a store room and checks what is left before going to buy more at the market is practising the same principles of warehousing and inventory control.,"Define warehousing.::The storage of goods in a suitable place before they are sold or used.||What is inventorying?::The process of recording and managing the quantity of goods a business holds at a given time.||State one function of warehousing.::It protects goods from damage, theft or spoilage until they are needed.",
2023-JSS024-Kidato II,Apply business knowledge in various contexts,Apply business theories into practice,Identify business opportunities available in the local environment,Identifying Local Business Opportunities,10,Field trip,Kuwaongoza Wanafunzi,Learners identify at least three business opportunities available in their local environment and justify their choices.,Notebook for recording observations during a local survey|Chart of opportunity identification criteria|Pictures of local resources,"TET(2023), BUSINESS STUDIES SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",A business opportunity is a gap or unmet need in the market that a person can exploit by providing a good or service to earn a profit.,"Business opportunities can be identified by observing the local environment, considering available resources, and identifying problems that people face which a business could solve. Sources of opportunities include local raw materials, unmet customer needs, seasonal demand and gaps left by existing businesses. When identifying an opportunity, learners should consider whether it is practical, whether there is enough demand, and whether the necessary resources and skills are available.","For example, learners on a walk around their village notice that there is no place selling affordable exercise books and pens near the school, and identify starting a small stationery kiosk as a viable business opportunity.","Everyday observations, such as noticing that neighbours struggle to find clean drinking water, can reveal genuine business opportunities like selling treated water in the community.",Define a business opportunity.::A gap or unmet need in the market that can be exploited to provide a good or service for profit.||Mention one way of identifying business opportunities.::Observing the local environment for unmet needs or available resources.||Give one example of a business opportunity that could exist in a rural area.::Selling farm inputs such as seeds and fertiliser to local farmers (any reasonable example).,
2023-JSS024-Kidato III,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education","Describe the basic aspects of marketing for small businesses (meaning and importance, product, price, place/distribution, promotion)",Marketing Mix for Small Businesses,21,Discussion,Kuwaongoza Wanafunzi,Learners explain the meaning and importance of marketing and describe the four elements of the marketing mix.,Chart of the four Ps of marketing|Sample product packaging|Price list examples,"TET(2023), BUSINESS STUDIES SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Marketing is the process of identifying customer needs and designing, pricing, distributing and promoting goods and services to satisfy those needs profitably.","Marketing is important because it helps a business understand its customers, increase sales and remain competitive. The marketing mix consists of four elements: product (what is offered to satisfy a need), price (the amount charged for the product), place or distribution (how the product reaches the customer), and promotion (how the business communicates about the product to attract customers). A small business must balance all four elements to market its goods or services effectively.","For example, a small bakery decides on its product (types of bread), sets an affordable price, distributes bread to nearby shops (place), and advertises using word of mouth and posters (promotion) to attract more customers.","When learners see advertisements, price tags and shop displays in their community, they are observing the marketing mix in action.","Define marketing.::The process of identifying customer needs and designing, pricing, distributing and promoting goods and services to satisfy them profitably.||Name the four elements of the marketing mix.::Product, price, place and promotion.||Why is marketing important to a small business?::It helps the business understand customer needs, increase sales and remain competitive.",
