subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS008-Awali,"Kumudu Stadi za Kisanii, Ubunifu na Michezo",Kuonesha sanaa za maonyesho,Kuimba nyimbo,Kuimba nyimbo za sikukuu za Taifa: Sabasaba na Muungano,3,Kuimba pamoja na mwalimu huku akieleza maana ya sikukuu,Kuwaongoza Wanafunzi,Mtoto anaimba wimbo wa Sabasaba au Muungano kwa usahihi na kwa furaha,Picha za sikukuu za kitaifa|Bendera ndogo|Kadi za maneno ya wimbo,"TET(2023), SANAA UBUNIFU NA MICHEZO, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Watoto hujifunza kuimba nyimbo zinazoeleza sikukuu muhimu za Taifa letu kama Sabasaba na Muungano, ili kuzipenda na kuzikumbuka.","Mwalimu aeleza kwa ufupi Sabasaba ni sikukuu ya wafanyakazi na Muungano ni siku ya kuungana kwa Tanganyika na Zanzibar, kisha waimbe wimbo pamoja mara kwa mara.","Wimbo: 'Sabasaba ni sikukuu ya Taifa, Sabasaba ni sikukuu ya Taifa, Naipenda mama naipenda, naipenda, Naipenda sikukuu ya Taifa letu.' Pia: 'Muungano wa Tanganyika na Zanzibar, Muungano wa Tanganyika na Zanzibar, Muungano juu juu juu, juu zaidi.'",Mtoto anaweza kuimba nyimbo hizi nyumbani wakati wa maadhimisho ya sikukuu za Taifa pamoja na familia yake.,Taja sikukuu mbili za Taifa zinazoimbwa katika nyimbo::Sabasaba na Muungano||Imba wimbo wa Sabasaba::Mtoto anaimba 'Sabasaba ni sikukuu ya Taifa...'||Muungano ni wa nchi zipi mbili?::Tanganyika na Zanzibar,
2023-JSS008-Awali,"Kumudu Stadi za Kisanii, Ubunifu na Michezo",Kuonesha sanaa za maonyesho,Kuimba nyimbo,Kuimba wimbo wa haki na wajibu wa mtoto,2,Kuimba kwa zamu na kuigiza maana ya maneno ya wimbo,Kuwaongoza Wanafunzi,Mtoto anaimba angalau ubeti mmoja wa wimbo wa haki na wajibu kwa usahihi,Kadi za maneno ya wimbo|Picha za watoto shuleni,"TET(2023), SANAA UBUNIFU NA MICHEZO, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Wimbo huu unafundisha watoto haki walizonazo na wajibu wanaopaswa kutimiza wakiwa nyumbani na shuleni.,"Mwalimu asisitize kuwa wazazi na walimu wana wajibu wa kuwalinda na kuwaelimisha watoto, nao watoto wana wajibu wa kusoma kwa bidii.","Wimbo: 'Watoto tunayo haki, wajibu kuutimiza, Wazazi wafanyakazi, watoto wanatutunza, Shiriki katika kazi, Taifa tutalikuza, Watoto tunayo haki, wajibu kuutimiza.'",Mtoto anatambua wajibu wake wa kwenda shule kila siku na kusikiliza wazazi ili awe salama.,Watoto wana nini kwa mujibu wa wimbo?::Haki na wajibu||Wajibu wa mtoto ni upi kwa mujibu wa wimbo?::Kusoma kwa bidii||Nani anatupatia mahitaji ya lazima?::Wazazi,
2023-JSS008-Awali,"Kumudu Stadi za Kisanii, Ubunifu na Michezo",Kuonesha sanaa za maonyesho,Kuimba nyimbo,Kuimba wimbo wa kupiga makofi na vidole,2,Kuimba huku wakifanya vitendo vya kupiga makofi na vidole kwa pamoja,Kuwaongoza Wanafunzi,Mtoto anaimba wimbo huku akipiga makofi kwa mdundo sahihi,Hakuna vifaa maalum - viungo vya mwili,"TET(2023), SANAA UBUNIFU NA MICHEZO, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Watoto hujifunza kuimba wimbo wa furaha unaotumia viungo vya mwili kama makofi na vidole kuonesha raha.,Mwalimu aanze wimbo taratibu kisha aongeze kasi huku watoto wakipiga makofi na vidole kwa pamoja.,"Wimbo: 'Kama kweli unaraha piga makofi, pa pa pa, Kama kweli unaraha piga makofi, pa pa pa, Kama kweli unaraha na leo hii ioneshe, Kama kweli unaraha piga makofi, pa pa pa.'",Mtoto anaweza kuimba wimbo huu anapofurahi akiwa na familia au marafiki nyumbani.,Tunapiga nini tunapoimba wimbo huu?::Makofi na vidole||Imba ubeti wa kwanza wa wimbo huu::Mtoto anaimba 'Kama kweli unaraha piga makofi...'||Ulijisikiaje ulipoimba na kupiga makofi?::Mtoto anaeleza hisia zake za furaha,
2023-JSS008-Awali,"Kumudu Stadi za Kisanii, Ubunifu na Michezo",Kuonesha sanaa za maonyesho,Kughani mashairi,Kughani majigambo ya Paka na Mbwa,3,Kughani kwa sauti ya kujiamini huku akiigiza tabia ya mnyama,Kuwaongoza Wanafunzi,Mtoto anaghani jigambo la Paka au Mbwa kwa kukariri maneno kwa usahihi,Picha ya Paka|Picha ya Mbwa|Kadi za maneno,"TET(2023), SANAA UBUNIFU NA MICHEZO, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Majigambo ni mashairi mafupi ya kujisifu ambayo mnyama anajieleza yeye ni nani na anafanya kazi gani.,Mwalimu aeleza kuwa kila mnyama ana kazi yake muhimu; Paka anafukuza panya na Mbwa analinda nyumba.,"Jigambo la Paka: 'Mimi ni Paka, Paka, Ninafukuza panya, waharibifu wa vitu. Mimi ni Paka. Nyau! Nyau!' Jigambo la Mbwa: 'Mimi ni Mbwa, Mbwa, Ninamlinda binadamu na mali zake. Mimi ni Mbwa. Wuu! Wuu!'",Mtoto anatambua kuwa Paka na Mbwa wanasaidia nyumbani kwa kulinda na kufukuza wadudu waharibifu.,"Paka hufanya nini?::Anafukuza panya||Mbwa analinda nini?::Binadamu na mali zake||Ghani jigambo la Paka::Mtoto anaghani 'Mimi ni Paka, Paka...'",
2023-JSS008-Awali,"Kumudu Stadi za Kisanii, Ubunifu na Michezo",Kuonesha sanaa za maonyesho,Kughani mashairi,Kughani majigambo ya Ng'ombe na Jogoo,2,Kughani kwa zamu huku wenzake wakisikiliza na kuiga sauti za wanyama,Kuwaongoza Wanafunzi,Mtoto anaghani jigambo la Ng'ombe au Jogoo na kutoa sauti sahihi ya mnyama,Picha ya Ng'ombe|Picha ya Jogoo,"TET(2023), SANAA UBUNIFU NA MICHEZO, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Ng'ombe na Jogoo pia wana majigambo yao yanayoeleza umuhimu wao kwa binadamu.,Mwalimu asisitize Ng'ombe hutupatia chakula (nyama na maziwa) na Jogoo hutuamsha asubuhi.,"Jigambo la Ng'ombe: 'Mimi ni Ng'ombe, Ng'ombe, Nyama na maziwa, binadamu nampatia. Mimi ni Ng'ombe. Mooo! Mooo!' Jigambo la Jogoo: 'Mimi ni Jogoo, Jogoo, Huwaamsha mapema, kuwahi shuleni na kazini. Mimi ni Jogoo Kho! Khori! Khoo!'",Jogoo humwamsha mtoto asubuhi ili awahi shuleni na Ng'ombe humpatia maziwa ya kunywa.,"Ng'ombe hutupatia nini?::Nyama na maziwa||Jogoo hufanya nini?::Huwaamsha watu mapema||Ghani jigambo la Jogoo::Mtoto anaghani 'Mimi ni Jogoo, Jogoo...'",
2023-JSS008-Awali,"Kumudu Stadi za Kisanii, Ubunifu na Michezo",Kuonesha sanaa za maonyesho,Kutamba ngonjera,Kutamba ngonjera ya wanyama wa nyumbani,2,Kutamba kwa mtindo wa maswali na majibu baina ya makundi mawili ya watoto,Kuwaongoza Wanafunzi,Mtoto anashiriki kutamba ngonjera kwa kuuliza au kujibu kuhusu wanyama,Picha za wanyama|Kadi za maswali na majibu,"TET(2023), SANAA UBUNIFU NA MICHEZO, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Ngonjera ni utambaji wa mashairi kwa njia ya maswali na majibu baina ya watu wawili au makundi mawili.,"Mwalimu agawe watoto makundi mawili, kundi moja liulize kuhusu mnyama na kundi jingine lijibu kwa jigambo la mnyama husika.","Kundi la kwanza: 'Ng'ombe hutupatia nini?' Kundi la pili: 'Nyama na maziwa, binadamu nampatia, Mooo! Mooo!'",Mtoto anajifunza kushirikiana na wenzake kwa kuuliza na kujibu kama wanavyofanya watu wazima wanapozungumza.,Ngonjera hutambwa na watu wangapi au makundi mangapi?::Watu au makundi mawili||Tunga swali la ngonjera kuhusu Paka::Mtoto anauliza 'Paka hufanya nini?'||Jibu swali la ngonjera kuhusu Jogoo::Mtoto anajibu 'Huwaamsha watu mapema',
2023-JSS008-Awali,"Kumudu Stadi za Kisanii, Ubunifu na Michezo",Kuonesha sanaa za maonyesho,Kutamba ngonjera,Kutamba ngonjera ya milio ya wanyama na ndege,2,Kutamba kwa kuigiza sauti za wanyama kwa zamu baina ya watoto,Kuwaongoza Wanafunzi,Mtoto anatamba kwa kutaja na kuiga sauti ya mnyama aliyeisikia,"Picha za paka, mbwa, kuku, bata, mbuzi na ng'ombe","TET(2023), SANAA UBUNIFU NA MICHEZO, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Watoto hutamba kwa kutaja sauti mbalimbali za wanyama na ndege wanaowafahamu.,"Mwalimu aoneshe picha ya mnyama, mtoto mmoja atambe sauti yake, mwenzake aitikie kwa kuigiza sauti hiyo.","Kwa mfano: paka - Nyau Nyau, mbwa - Wuu Wuu, kuku - Kokoriko, mbuzi - Meee, ng'ombe - Mooo.",Mtoto anatambua na kuiga sauti za wanyama anaowaona nyumbani au shambani.,Ni sauti gani inayokuvutia zaidi?::Mtoto anataja mnyama anaompenda||Igiza sauti ya paka::Nyau! Nyau!||Igiza sauti ya ng'ombe::Mooo! Mooo!,
2023-JSS008-Awali,"Kumudu Stadi za Kisanii, Ubunifu na Michezo",Kuonesha sanaa za maonyesho,Kuigiza,Kuigiza kuendesha gari na kuuza na kununua vitu,2,Kuigiza majukumu tofauti ya watu huku mwalimu akiwaongoza kwa mazungumzo halisi,Kuwaongoza Wanafunzi,Mtoto anaigiza dereva au mnunuzi/muuzaji kwa kutumia maneno sahihi ya mazungumzo,Kitabu (kwa ajili ya kuuza)|Sarafu au noti za kuchezea|Gurudumu la kuchezea la gari,"TET(2023), SANAA UBUNIFU NA MICHEZO, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Watoto hujifunza kuigiza shughuli wanazoziona watu wakubwa wakizifanya kama kuendesha gari na kununua vitu dukani.,Mwalimu aigize kwanza kisha awagawe watoto majukumu ya mnunuzi na muuzaji ili waigize mazungumzo halisi.,Mazungumzo: Mnunuzi: 'Hicho kitabu kinauzwa bei gani?' Muuzaji: 'Kinauzwa shilingi elfu moja tu.' Mnunuzi: 'Tafadhali nipatie.' Muuzaji: 'Hiki hapa kitabu na risiti yako.',Mtoto anajionea wazazi wake wakinunua vitu dukani na anajua tunatumia fedha kununua vitu.,Tunatumia nini kununua vitu?::Fedha||Kwa nini muuzaji alimpa risiti mnunuzi?::Kuwa uthibitisho wa ununuzi||Igiza kuendesha gari::Mtoto anaigiza kushika usukani na kuendesha,
2023-JSS008-Awali,"Kumudu Stadi za Kisanii, Ubunifu na Michezo",Kuonesha sanaa za maonyesho,Kuigiza,"Kuigiza kushiriki kazi: kujenga, kupika na kufanya usafi",2,Kuigiza vitendo vya kazi za nyumbani kwa vikundi vidogo,Kuwaongoza Wanafunzi,Mtoto anaigiza kwa vitendo shughuli moja ya kazi ya nyumbani kama kupika au kufanya usafi,Vyombo vya kuchezea vya jikoni|Vitu vya ujenzi vya kuchezea|Ufagio mdogo,"TET(2023), SANAA UBUNIFU NA MICHEZO, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Watoto huigiza kazi wanazoshiriki nyumbani kama kupura mahindi, kujenga, kupika na kufanya usafi.",Mwalimu awaulize kazi wanazoshiriki nyumbani kisha awaongoze kuigiza kwa vitendo vya kweli.,Shughuli: 'Tuigize kujenga nyumba. Tuigize kupika. Tufanye usafi.' (kutoka picha ya watoto wakipura mahindi na kupika),"Mtoto anashiriki kazi za nyumbani kama kufagia, kupika na wazazi na kusaidia kazi ndogondogo.","Unashiriki kazi gani ukiwa nyumbani?::Mtoto anataja kazi yake, mfano kufagia||Igiza kujenga nyumba::Mtoto anaigiza kuweka matofali||Igiza kupika::Mtoto anaigiza kukoroga chungu",
2023-JSS008-Awali,"Kumudu Stadi za Kisanii, Ubunifu na Michezo",Kuonesha sanaa za maonyesho,Kuigiza,Kuigiza vichekesho,2,Kuigiza mazungumzo ya kuchekesha kwa vikundi huku wenzao wakitazama,Kuwaongoza Wanafunzi,Mtoto anaigiza kichekesho kimoja mbele ya wenzake kwa kutumia sauti na vitendo,Picha za vichekesho|Vazi rahisi za kuigiza,"TET(2023), SANAA UBUNIFU NA MICHEZO, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Vichekesho ni maigizo mafupi ya kuchekesha yanayowafanya watoto wacheke na kufurahi wakiigiza matukio ya kila siku.,Mwalimu asome mazungumzo kwanza kisha awagawie watoto majukumu ya kuigiza kwa sauti na hisia.,Mazungumzo: 'Kinaonekana ni chakula kitamu! Hee! Jamani!! Sijui wanapika nini? Eehee! Ngoja ninawe mikono kwanza. Chakula ni kitamu. Oohhh fisi huyo! Chakula changu! Uwe makini!',Mtoto anacheka na kufurahi anapoona au kuigiza matukio ya kuchekesha nyumbani wakati wa chakula.,Kichekesho ni nini?::Igizo fupi la kuchekesha||Tamka sentensi moja ya kichekesho::Mtoto anasema 'Chakula ni kitamu' au sentensi nyingine||Onesha kichekesho unachokipenda::Mtoto anaigiza kichekesho alichokichagua,
